qid,P569,S248,s528,s813,P570,S248,s528,s813
Q360721,+1879-09-17T00:00:00Z/11,Q51850225,"""11000015""",+2018-04-13T00:00:00Z/11,+1957-01-21T00:00:00Z/11,Q51850225,"""11000015""",+2018-04-13T00:00:00Z/11
Q1518228,+1902-04-08T00:00:00Z/11,Q51850225,"""11000016""",+2018-04-13T00:00:00Z/11,+1975-07-14T00:00:00Z/11,Q51850225,"""11000016""",+2018-04-13T00:00:00Z/11
Q1730229,+1924-03-13T00:00:00Z/11,Q51850225,"""11000017""",+2018-04-13T00:00:00Z/11,+2015-03-06T00:00:00Z/11,Q51850225,"""11000017""",+2018-04-13T00:00:00Z/11
Q90026,+1924-05-25T00:00:00Z/11,Q51850225,"""11000018""",+2018-04-13T00:00:00Z/11,+1988-03-24T00:00:00Z/11,Q51850225,"""11000018""",+2018-04-13T00:00:00Z/11
Q98585,+1936-07-27T00:00:00Z/11,Q51850225,"""11000019""",+2018-04-13T00:00:00Z/11,,Q51850225,"""11000019""",+2018-04-13T00:00:00Z/11
Q1382213,+1890-03-08T00:00:00Z/11,Q51850225,"""11000020""",+2018-04-13T00:00:00Z/11,+1963-03-08T00:00:00Z/11,Q51850225,"""11000020""",+2018-04-13T00:00:00Z/11
Q1277445,+1901-06-22T00:00:00Z/11,Q51850225,"""11000021""",+2018-04-13T00:00:00Z/11,+1979-02-01T00:00:00Z/11,Q51850225,"""11000021""",+2018-04-13T00:00:00Z/11
Q1660815,+1943-04-26T00:00:00Z/11,Q51850225,"""11000022""",+2018-04-13T00:00:00Z/11,,Q51850225,"""11000022""",+2018-04-13T00:00:00Z/11
Q1357312,+1914-07-28T00:00:00Z/11,Q51850225,"""11000023""",+2018-04-13T00:00:00Z/11,+1991-12-01T00:00:00Z/11,Q51850225,"""11000023""",+2018-04-13T00:00:00Z/11
Q1394531,+1896-05-27T00:00:00Z/11,Q51850225,"""11000024""",+2018-04-13T00:00:00Z/11,+1958-05-16T00:00:00Z/11,Q51850225,"""11000024""",+2018-04-13T00:00:00Z/11
Q1926766,+1947-11-25T00:00:00Z/11,Q51850225,"""11000025""",+2018-04-13T00:00:00Z/11,,Q51850225,"""11000025""",+2018-04-13T00:00:00Z/11
Q102393,+1949-03-28T00:00:00Z/11,Q51850225,"""11000026""",+2018-04-13T00:00:00Z/11,,Q51850225,"""11000026""",+2018-04-13T00:00:00Z/11
Q2014058,+1922-05-21T00:00:00Z/11,Q51850225,"""11000027""",+2018-04-13T00:00:00Z/11,+2004-07-28T00:00:00Z/11,Q51850225,"""11000027""",+2018-04-13T00:00:00Z/11
Q103721,+1928-03-12T00:00:00Z/11,Q51850225,"""11000028""",+2018-04-13T00:00:00Z/11,,Q51850225,"""11000028""",+2018-04-13T00:00:00Z/11
Q2544263,+1946-07-11T00:00:00Z/11,Q51850225,"""11000029""",+2018-04-13T00:00:00Z/11,,Q51850225,"""11000029""",+2018-04-13T00:00:00Z/11
Q1678890,+1889-11-23T00:00:00Z/11,Q51850225,"""11000030""",+2018-04-13T00:00:00Z/11,+1963-02-08T00:00:00Z/11,Q51850225,"""11000030""",+2018-04-13T00:00:00Z/11
Q110794,+1920-08-12T00:00:00Z/11,Q51850225,"""11000031""",+2018-04-13T00:00:00Z/11,+2001-02-04T00:00:00Z/11,Q51850225,"""11000031""",+2018-04-13T00:00:00Z/11
Q71363,+1888-06-30T00:00:00Z/11,Q51850225,"""11000032""",+2018-04-13T00:00:00Z/11,+1969-04-21T00:00:00Z/11,Q51850225,"""11000032""",+2018-04-13T00:00:00Z/11
Q495770,+1955-02-12T00:00:00Z/11,Q51850225,"""11000033""",+2018-04-13T00:00:00Z/11,,Q51850225,"""11000033""",+2018-04-13T00:00:00Z/11
Q107376,+1934-04-28T00:00:00Z/11,Q51850225,"""11000034""",+2018-04-13T00:00:00Z/11,+2017-04-07T00:00:00Z/11,Q51850225,"""11000034""",+2018-04-13T00:00:00Z/11
Q96399,+1912-11-23T00:00:00Z/11,Q51850225,"""11000035""",+2018-04-13T00:00:00Z/11,+1981-10-04T00:00:00Z/11,Q51850225,"""11000035""",+2018-04-13T00:00:00Z/11
Q1716959,+1940-05-05T00:00:00Z/11,Q51850225,"""11000036""",+2018-04-13T00:00:00Z/11,,Q51850225,"""11000036""",+2018-04-13T00:00:00Z/11
Q714149,+1896-01-21T00:00:00Z/11,Q51850225,"""11000037""",+2018-04-13T00:00:00Z/11,+1976-07-13T00:00:00Z/11,Q51850225,"""11000037""",+2018-04-13T00:00:00Z/11
Q99899,+1951-04-08T00:00:00Z/11,Q51850225,"""11000038""",+2018-04-13T00:00:00Z/11,,Q51850225,"""11000038""",+2018-04-13T00:00:00Z/11
Q1563185,+1923-12-18T00:00:00Z/11,Q51850225,"""11000039""",+2018-04-13T00:00:00Z/11,+1997-05-08T00:00:00Z/11,Q51850225,"""11000039""",+2018-04-13T00:00:00Z/11
Q1221580,+1942-12-01T00:00:00Z/11,Q51850225,"""11000040""",+2018-04-13T00:00:00Z/11,,Q51850225,"""11000040""",+2018-04-13T00:00:00Z/11
Q1388845,+1880-12-15T00:00:00Z/11,Q51850225,"""11000041""",+2018-04-13T00:00:00Z/11,+1955-07-11T00:00:00Z/11,Q51850225,"""11000041""",+2018-04-13T00:00:00Z/11
Q1264062,+1939-02-05T00:00:00Z/11,Q51850225,"""11000042""",+2018-04-13T00:00:00Z/11,,Q51850225,"""11000042""",+2018-04-13T00:00:00Z/11
Q65561,+1932-02-25T00:00:00Z/11,Q51850225,"""11000043""",+2018-04-13T00:00:00Z/11,+2011-09-06T00:00:00Z/11,Q51850225,"""11000043""",+2018-04-13T00:00:00Z/11
Q84385,+1925-01-17T00:00:00Z/11,Q51850225,"""11000044""",+2018-04-13T00:00:00Z/11,+2005-03-07T00:00:00Z/11,Q51850225,"""11000044""",+2018-04-13T00:00:00Z/11
Q101061,+1918-08-15T00:00:00Z/11,Q51850225,"""11000045""",+2018-04-13T00:00:00Z/11,+1981-06-12T00:00:00Z/11,Q51850225,"""11000045""",+2018-04-13T00:00:00Z/11
Q1704221,+1894-02-24T00:00:00Z/11,Q51850225,"""11000046""",+2018-04-13T00:00:00Z/11,+1966-09-20T00:00:00Z/11,Q51850225,"""11000046""",+2018-04-13T00:00:00Z/11
Q90819,+1904-03-12T00:00:00Z/11,Q51850225,"""11000047""",+2018-04-13T00:00:00Z/11,+1974-02-13T00:00:00Z/11,Q51850225,"""11000047""",+2018-04-13T00:00:00Z/11
Q1098411,+1927-04-16T00:00:00Z/11,Q51850225,"""11000048""",+2018-04-13T00:00:00Z/11,+2014-02-10T00:00:00Z/11,Q51850225,"""11000048""",+2018-04-13T00:00:00Z/11
Q1320363,+1927-03-09T00:00:00Z/11,Q51850225,"""11000049""",+2018-04-13T00:00:00Z/11,+1974-01-29T00:00:00Z/11,Q51850225,"""11000049""",+2018-04-13T00:00:00Z/11
Q1267065,+1894-04-12T00:00:00Z/11,Q51850225,"""11000050""",+2018-04-13T00:00:00Z/11,+1988-10-07T00:00:00Z/11,Q51850225,"""11000050""",+2018-04-13T00:00:00Z/11
Q1539095,+1933-02-10T00:00:00Z/11,Q51850225,"""11000051""",+2018-04-13T00:00:00Z/11,+2015-12-28T00:00:00Z/11,Q51850225,"""11000051""",+2018-04-13T00:00:00Z/11
