qid,P569,S248,s528,s813,P570,S248,s528,s813
Q109221,+1930-10-20T00:00:00Z/11,Q51850225,"""11000001""",+2018-04-13T00:00:00Z/11,+2008-01-17T00:00:00Z/11,Q51850225,"""11000001""",+2018-04-13T00:00:00Z/11
Q214251,+1909-04-09T00:00:00Z/11,Q51850225,"""11000002""",+2018-04-13T00:00:00Z/11,+1991-12-02T00:00:00Z/11,Q51850225,"""11000002""",+2018-04-13T00:00:00Z/11
Q566240,+1913-05-26T00:00:00Z/11,Q51850225,"""11000003""",+2018-04-13T00:00:00Z/11,+1994-02-18T00:00:00Z/11,Q51850225,"""11000003""",+2018-04-13T00:00:00Z/11
Q109322,+1933-11-06T00:00:00Z/11,Q51850225,"""11000004""",+2018-04-13T00:00:00Z/11,,Q51850225,"""11000004""",+2018-04-13T00:00:00Z/11
Q96630,+1950-06-09T00:00:00Z/11,Q51850225,"""11000005""",+2018-04-13T00:00:00Z/11,,Q51850225,"""11000005""",+2018-04-13T00:00:00Z/11
Q2171984,+1919-11-10T00:00:00Z/11,Q51850225,"""11000007""",+2018-04-13T00:00:00Z/11,+2013-05-25T00:00:00Z/11,Q51850225,"""11000007""",+2018-04-13T00:00:00Z/11
Q1500263,+1912-09-28T00:00:00Z/11,Q51850225,"""11000008""",+2018-04-13T00:00:00Z/11,+1992-01-25T00:00:00Z/11,Q51850225,"""11000008""",+2018-04-13T00:00:00Z/11
Q2492,+1876-01-05T00:00:00Z/11,Q51850225,"""11000009""",+2018-04-13T00:00:00Z/11,+1967-04-19T00:00:00Z/11,Q51850225,"""11000009""",+2018-04-13T00:00:00Z/11
Q916089,+1944-06-22T00:00:00Z/11,Q51850225,"""11000010""",+2018-04-13T00:00:00Z/11,+2004-10-25T00:00:00Z/11,Q51850225,"""11000010""",+2018-04-13T00:00:00Z/11
Q1287863,+1920-10-31T00:00:00Z/11,Q51850225,"""11000011""",+2018-04-13T00:00:00Z/11,+2000-12-28T00:00:00Z/11,Q51850225,"""11000011""",+2018-04-13T00:00:00Z/11
Q1691233,+1941-04-15T00:00:00Z/11,Q51850225,"""11000012""",+2018-04-13T00:00:00Z/11,+1992-01-09T00:00:00Z/11,Q51850225,"""11000012""",+2018-04-13T00:00:00Z/11
Q100613,+1904-06-10T00:00:00Z/11,Q51850225,"""11000013""",+2018-04-13T00:00:00Z/11,+1957-08-29T00:00:00Z/11,Q51850225,"""11000013""",+2018-04-13T00:00:00Z/11
Q72593,+1922-11-08T00:00:00Z/11,Q51850225,"""11000014""",+2018-04-13T00:00:00Z/11,+1980-12-19T00:00:00Z/11,Q51850225,"""11000014""",+2018-04-13T00:00:00Z/11
