qid,P569,S248,s528,s813
Q1744955,+1941-01-16T00:00:00Z/11,Q51850225,"""11000297""",+2018-04-13T00:00:00Z/11
Q66619,+1937-07-17T00:00:00Z/11,Q51850225,"""11000299""",+2018-04-13T00:00:00Z/11
Q1587392,+1952-01-02T00:00:00Z/11,Q51850225,"""11000303""",+2018-04-13T00:00:00Z/11
Q1704401,+1932-12-24T00:00:00Z/11,Q51850225,"""11000304""",+2018-04-13T00:00:00Z/11
Q66008,+1951-03-04T00:00:00Z/11,Q51850225,"""11000305""",+2018-04-13T00:00:00Z/11
Q102760,+1954-04-22T00:00:00Z/11,Q51850225,"""11000306""",+2018-04-13T00:00:00Z/11
Q1221787,+1939-08-07T00:00:00Z/11,Q51850225,"""11000311""",+2018-04-13T00:00:00Z/11
Q1581228,+1966-04-05T00:00:00Z/11,Q51850225,"""11000312""",+2018-04-13T00:00:00Z/11
Q1164280,+1939-07-06T00:00:00Z/11,Q51850225,"""11000318""",+2018-04-13T00:00:00Z/11
Q102210,+1931-04-04T00:00:00Z/11,Q51850225,"""11000320""",+2018-04-13T00:00:00Z/11
Q99444,+1943-02-23T00:00:00Z/11,Q51850225,"""11000322""",+2018-04-13T00:00:00Z/11
Q62196,+1947-03-12T00:00:00Z/11,Q51850225,"""11000323""",+2018-04-13T00:00:00Z/11
Q124134,+1955-04-24T00:00:00Z/11,Q51850225,"""11000325""",+2018-04-13T00:00:00Z/11
Q2588530,+1945-07-13T00:00:00Z/11,Q51850225,"""11000326""",+2018-04-13T00:00:00Z/11
Q1608129,+1941-01-20T00:00:00Z/11,Q51850225,"""11000327""",+2018-04-13T00:00:00Z/11
Q1690023,+1931-10-06T00:00:00Z/11,Q51850225,"""11000330""",+2018-04-13T00:00:00Z/11
Q120330,+1952-09-30T00:00:00Z/11,Q51850225,"""11000334""",+2018-04-13T00:00:00Z/11
Q1649475,+1943-04-08T00:00:00Z/11,Q51850225,"""11000341""",+2018-04-13T00:00:00Z/11
Q65394,+1943-08-12T00:00:00Z/11,Q51850225,"""11000347""",+2018-04-13T00:00:00Z/11
Q1433770,+1934-12-11T00:00:00Z/11,Q51850225,"""11000352""",+2018-04-13T00:00:00Z/11
Q1799839,+1951-07-04T00:00:00Z/11,Q51850225,"""11000353""",+2018-04-13T00:00:00Z/11
Q1594097,+1950-03-27T00:00:00Z/11,Q51850225,"""11000354""",+2018-04-13T00:00:00Z/11
Q1744975,+1943-05-14T00:00:00Z/11,Q51850225,"""11000361""",+2018-04-13T00:00:00Z/11
Q1223204,+1950-04-03T00:00:00Z/11,Q51850225,"""11000365""",+2018-04-13T00:00:00Z/11
Q2589421,+1945-02-11T00:00:00Z/11,Q51850225,"""11000366""",+2018-04-13T00:00:00Z/11
Q1515545,+1936-02-03T00:00:00Z/11,Q51850225,"""11000371""",+2018-04-13T00:00:00Z/11
Q1580076,+1953-12-23T00:00:00Z/11,Q51850225,"""11000373""",+2018-04-13T00:00:00Z/11
Q85528,+1947-04-17T00:00:00Z/11,Q51850225,"""11000376""",+2018-04-13T00:00:00Z/11
Q1992290,+1934-05-24T00:00:00Z/11,Q51850225,"""11000382""",+2018-04-13T00:00:00Z/11
Q2143365,+1938-04-08T00:00:00Z/11,Q51850225,"""11000388""",+2018-04-13T00:00:00Z/11
Q60957,+1941-11-13T00:00:00Z/11,Q51850225,"""11000389""",+2018-04-13T00:00:00Z/11
Q124989,+1941-01-27T00:00:00Z/11,Q51850225,"""11000391""",+2018-04-13T00:00:00Z/11
Q1359710,+1950-05-15T00:00:00Z/11,Q51850225,"""11000396""",+2018-04-13T00:00:00Z/11
Q2561056,+1940-10-02T00:00:00Z/11,Q51850225,"""11000397""",+2018-04-13T00:00:00Z/11
Q62673,+1928-06-23T00:00:00Z/11,Q51850225,"""11000401""",+2018-04-13T00:00:00Z/11
Q1583909,+1936-08-09T00:00:00Z/11,Q51850225,"""11000411""",+2018-04-13T00:00:00Z/11
Q1221846,+1954-03-03T00:00:00Z/11,Q51850225,"""11000413""",+2018-04-13T00:00:00Z/11
Q1594415,+1958-11-24T00:00:00Z/11,Q51850225,"""11000415""",+2018-04-13T00:00:00Z/11
Q1784182,+1940-11-17T00:00:00Z/11,Q51850225,"""11000420""",+2018-04-13T00:00:00Z/11
Q1454589,+1936-11-26T00:00:00Z/11,Q51850225,"""11000425""",+2018-04-13T00:00:00Z/11
Q2423593,+1951-04-18T00:00:00Z/11,Q51850225,"""11000427""",+2018-04-13T00:00:00Z/11
Q1303719,+1940-01-11T00:00:00Z/11,Q51850225,"""11000428""",+2018-04-13T00:00:00Z/11
Q2074629,+1940-10-13T00:00:00Z/11,Q51850225,"""11000431""",+2018-04-13T00:00:00Z/11
Q2589520,+1953-06-19T00:00:00Z/11,Q51850225,"""11000439""",+2018-04-13T00:00:00Z/11
Q1559457,+1946-01-05T00:00:00Z/11,Q51850225,"""11000441""",+2018-04-13T00:00:00Z/11
Q2473162,+1942-05-02T00:00:00Z/11,Q51850225,"""11000443""",+2018-04-13T00:00:00Z/11
Q87678,+1926-12-21T00:00:00Z/11,Q51850225,"""11000445""",+2018-04-13T00:00:00Z/11
Q1524657,+1942-08-18T00:00:00Z/11,Q51850225,"""11000446""",+2018-04-13T00:00:00Z/11
Q2397743,+1955-04-01T00:00:00Z/11,Q51850225,"""11000447""",+2018-04-13T00:00:00Z/11
Q1895808,+1948-09-11T00:00:00Z/11,Q51850225,"""11000449""",+2018-04-13T00:00:00Z/11
Q2502436,+1949-05-18T00:00:00Z/11,Q51850225,"""11000454""",+2018-04-13T00:00:00Z/11
Q1996728,+1940-03-19T00:00:00Z/11,Q51850225,"""11000458""",+2018-04-13T00:00:00Z/11
Q1223726,+1938-03-07T00:00:00Z/11,Q51850225,"""11000462""",+2018-04-13T00:00:00Z/11
Q1781980,+1949-02-09T00:00:00Z/11,Q51850225,"""11000463""",+2018-04-13T00:00:00Z/11
Q2558966,+1922-10-20T00:00:00Z/11,Q51850225,"""11000469""",+2018-04-13T00:00:00Z/11
Q2589536,+1942-06-27T00:00:00Z/11,Q51850225,"""11000474""",+2018-04-13T00:00:00Z/11
Q62279,+1939-11-09T00:00:00Z/11,Q51850225,"""11000476""",+2018-04-13T00:00:00Z/11
Q126166,+1956-04-05T00:00:00Z/11,Q51850225,"""11000479""",+2018-04-13T00:00:00Z/11
Q69371,+1943-02-12T00:00:00Z/11,Q51850225,"""11000483""",+2018-04-13T00:00:00Z/11
Q71360,+1926-12-09T00:00:00Z/11,Q51850225,"""11000484""",+2018-04-13T00:00:00Z/11
Q916245,+1943-05-05T00:00:00Z/11,Q51850225,"""11000487""",+2018-04-13T00:00:00Z/11
Q92459,+1944-05-03T00:00:00Z/11,Q51850225,"""11000489""",+2018-04-13T00:00:00Z/11
Q2589540,+1957-05-17T00:00:00Z/11,Q51850225,"""11000490""",+2018-04-13T00:00:00Z/11
Q896221,+1947-09-29T00:00:00Z/11,Q51850225,"""11000495""",+2018-04-13T00:00:00Z/11
Q1037703,+1931-02-23T00:00:00Z/11,Q51850225,"""11000504""",+2018-04-13T00:00:00Z/11
Q556695,+1949-04-12T00:00:00Z/11,Q51850225,"""11000509""",+2018-04-13T00:00:00Z/11
Q1323060,+1945-09-22T00:00:00Z/11,Q51850225,"""11000510""",+2018-04-13T00:00:00Z/11
Q2209687,+1946-03-17T00:00:00Z/11,Q51850225,"""11000512""",+2018-04-13T00:00:00Z/11
Q1659113,+1943-09-21T00:00:00Z/11,Q51850225,"""11000513""",+2018-04-13T00:00:00Z/11
Q111692,+1940-09-13T00:00:00Z/11,Q51850225,"""11000517""",+2018-04-13T00:00:00Z/11
Q1457193,+1930-11-25T00:00:00Z/11,Q51850225,"""11000520""",+2018-04-13T00:00:00Z/11
Q1536546,+1950-09-30T00:00:00Z/11,Q51850225,"""11000523""",+2018-04-13T00:00:00Z/11
Q1691078,+1942-08-19T00:00:00Z/11,Q51850225,"""11000524""",+2018-04-13T00:00:00Z/11
Q2074809,+1939-02-17T00:00:00Z/11,Q51850225,"""11000525""",+2018-04-13T00:00:00Z/11
Q1533351,+1930-01-30T00:00:00Z/11,Q51850225,"""11000526""",+2018-04-13T00:00:00Z/11
Q1781988,+1953-06-16T00:00:00Z/11,Q51850225,"""11000527""",+2018-04-13T00:00:00Z/11
Q2017948,+1937-05-09T00:00:00Z/11,Q51850225,"""11000530""",+2018-04-13T00:00:00Z/11
Q98954,+1950-12-20T00:00:00Z/11,Q51850225,"""11000534""",+2018-04-13T00:00:00Z/11
Q1331482,+1958-05-05T00:00:00Z/11,Q51850225,"""11000535""",+2018-04-13T00:00:00Z/11
Q1694096,+1935-07-13T00:00:00Z/11,Q51850225,"""11000539""",+2018-04-13T00:00:00Z/11
Q2544186,+1944-08-02T00:00:00Z/11,Q51850225,"""11000541""",+2018-04-13T00:00:00Z/11
Q1227843,+1943-11-29T00:00:00Z/11,Q51850225,"""11000549""",+2018-04-13T00:00:00Z/11
Q1381645,+1948-01-09T00:00:00Z/11,Q51850225,"""11000550""",+2018-04-13T00:00:00Z/11
Q1301538,+1937-12-15T00:00:00Z/11,Q51850225,"""11000551""",+2018-04-13T00:00:00Z/11
Q57344,+1948-04-12T00:00:00Z/11,Q51850225,"""11000552""",+2018-04-13T00:00:00Z/11
Q1817712,+1935-07-18T00:00:00Z/11,Q51850225,"""11000553""",+2018-04-13T00:00:00Z/11
Q1927421,+1947-04-11T00:00:00Z/11,Q51850225,"""11000555""",+2018-04-13T00:00:00Z/11
Q2475781,+1942-12-11T00:00:00Z/11,Q51850225,"""11000556""",+2018-04-13T00:00:00Z/11
Q2501594,+1952-09-06T00:00:00Z/11,Q51850225,"""11000557""",+2018-04-13T00:00:00Z/11
Q1243608,+1940-02-19T00:00:00Z/11,Q51850225,"""11000562""",+2018-04-13T00:00:00Z/11
Q2584193,+1945-01-15T00:00:00Z/11,Q51850225,"""11000565""",+2018-04-13T00:00:00Z/11
Q1516418,+1941-01-10T00:00:00Z/11,Q51850225,"""11000567""",+2018-04-13T00:00:00Z/11
Q1996753,+1951-08-01T00:00:00Z/11,Q51850225,"""11000568""",+2018-04-13T00:00:00Z/11
Q1149343,+1936-07-17T00:00:00Z/11,Q51850225,"""11000569""",+2018-04-13T00:00:00Z/11
Q126996,+1945-07-23T00:00:00Z/11,Q51850225,"""11000572""",+2018-04-13T00:00:00Z/11
Q316587,+1931-10-16T00:00:00Z/11,Q51850225,"""11000586""",+2018-04-13T00:00:00Z/11
Q825034,+1932-04-08T00:00:00Z/11,Q51850225,"""11000589""",+2018-04-13T00:00:00Z/11
Q1629344,+1950-10-12T00:00:00Z/11,Q51850225,"""11000593""",+2018-04-13T00:00:00Z/11
Q1927471,+1951-02-13T00:00:00Z/11,Q51850225,"""11000594""",+2018-04-13T00:00:00Z/11
Q2284008,+1959-04-01T00:00:00Z/11,Q51850225,"""11000598""",+2018-04-13T00:00:00Z/11
Q1083151,+1950-12-12T00:00:00Z/11,Q51850225,"""11000599""",+2018-04-13T00:00:00Z/11
Q1352233,+1946-12-09T00:00:00Z/11,Q51850225,"""11000602""",+2018-04-13T00:00:00Z/11
Q1494915,+1931-12-27T00:00:00Z/11,Q51850225,"""11000605""",+2018-04-13T00:00:00Z/11
Q1122271,+1944-05-01T00:00:00Z/11,Q51850225,"""11000607""",+2018-04-13T00:00:00Z/11
Q73197,+1937-07-05T00:00:00Z/11,Q51850225,"""11000611""",+2018-04-13T00:00:00Z/11
Q1736710,+1938-05-25T00:00:00Z/11,Q51850225,"""11000614""",+2018-04-13T00:00:00Z/11
Q57484,+1946-12-14T00:00:00Z/11,Q51850225,"""11000615""",+2018-04-13T00:00:00Z/11
Q1577305,+1952-02-13T00:00:00Z/11,Q51850225,"""11000616""",+2018-04-13T00:00:00Z/11
Q692331,+1941-06-05T00:00:00Z/11,Q51850225,"""11000619""",+2018-04-13T00:00:00Z/11
Q1627202,+1930-06-27T00:00:00Z/11,Q51850225,"""11000623""",+2018-04-13T00:00:00Z/11
Q2128102,+1940-11-18T00:00:00Z/11,Q51850225,"""11000624""",+2018-04-13T00:00:00Z/11
Q1745154,+1945-01-10T00:00:00Z/11,Q51850225,"""11000627""",+2018-04-13T00:00:00Z/11
Q1504416,+1927-07-06T00:00:00Z/11,Q51850225,"""11000628""",+2018-04-13T00:00:00Z/11
Q1715571,+1960-12-23T00:00:00Z/11,Q51850225,"""11000629""",+2018-04-13T00:00:00Z/11
Q1944633,+1940-12-15T00:00:00Z/11,Q51850225,"""11000630""",+2018-04-13T00:00:00Z/11
Q1670247,+1940-08-05T00:00:00Z/11,Q51850225,"""11000631""",+2018-04-13T00:00:00Z/11
Q1697540,+1932-06-05T00:00:00Z/11,Q51850225,"""11000634""",+2018-04-13T00:00:00Z/11
Q2538,+1940-01-24T00:00:00Z/11,Q51850225,"""11000639""",+2018-04-13T00:00:00Z/11
Q1603565,+1928-06-12T00:00:00Z/11,Q51850225,"""11000647""",+2018-04-13T00:00:00Z/11
Q2290303,+1938-10-07T00:00:00Z/11,Q51850225,"""11000650""",+2018-04-13T00:00:00Z/11
Q95387,+1939-01-13T00:00:00Z/11,Q51850225,"""11000651""",+2018-04-13T00:00:00Z/11
Q1579689,+1940-03-22T00:00:00Z/11,Q51850225,"""11000654""",+2018-04-13T00:00:00Z/11
Q2591867,+1944-11-04T00:00:00Z/11,Q51850225,"""11000656""",+2018-04-13T00:00:00Z/11
Q97446,+1949-05-07T00:00:00Z/11,Q51850225,"""11000670""",+2018-04-13T00:00:00Z/11
Q1436925,+1941-01-02T00:00:00Z/11,Q51850225,"""11000671""",+2018-04-13T00:00:00Z/11
Q1782007,+1941-02-13T00:00:00Z/11,Q51850225,"""11000680""",+2018-04-13T00:00:00Z/11
Q1629380,+1940-08-09T00:00:00Z/11,Q51850225,"""11000682""",+2018-04-13T00:00:00Z/11
Q1909896,+1949-07-13T00:00:00Z/11,Q51850225,"""11000683""",+2018-04-13T00:00:00Z/11
Q1672733,+1964-07-18T00:00:00Z/11,Q51850225,"""11000687""",+2018-04-13T00:00:00Z/11
Q61803,+1944-12-14T00:00:00Z/11,Q51850225,"""11000691""",+2018-04-13T00:00:00Z/11
Q1465389,+1938-04-18T00:00:00Z/11,Q51850225,"""11000694""",+2018-04-13T00:00:00Z/11
Q99460,+1953-01-16T00:00:00Z/11,Q51850225,"""11000697""",+2018-04-13T00:00:00Z/11
Q1329826,+1938-12-22T00:00:00Z/11,Q51850225,"""11000698""",+2018-04-13T00:00:00Z/11
Q1335611,+1938-03-21T00:00:00Z/11,Q51850225,"""11000701""",+2018-04-13T00:00:00Z/11
Q1903923,+1944-10-28T00:00:00Z/11,Q51850225,"""11000702""",+2018-04-13T00:00:00Z/11
Q1302301,+1939-11-29T00:00:00Z/11,Q51850225,"""11000703""",+2018-04-13T00:00:00Z/11
Q123869,+1947-09-24T00:00:00Z/11,Q51850225,"""11000705""",+2018-04-13T00:00:00Z/11
Q2589797,+1955-01-10T00:00:00Z/11,Q51850225,"""11000707""",+2018-04-13T00:00:00Z/11
Q1279018,+1927-03-08T00:00:00Z/11,Q51850225,"""11000709""",+2018-04-13T00:00:00Z/11
Q1490314,+1955-07-08T00:00:00Z/11,Q51850225,"""11000715""",+2018-04-13T00:00:00Z/11
Q1509352,+1941-12-01T00:00:00Z/11,Q51850225,"""11000719""",+2018-04-13T00:00:00Z/11
Q1534549,+1937-08-01T00:00:00Z/11,Q51850225,"""11000722""",+2018-04-13T00:00:00Z/11
Q1690117,+1947-03-01T00:00:00Z/11,Q51850225,"""11000723""",+2018-04-13T00:00:00Z/11
Q1554634,+1943-06-02T00:00:00Z/11,Q51850225,"""11000727""",+2018-04-13T00:00:00Z/11
Q1717216,+1938-04-23T00:00:00Z/11,Q51850225,"""11000729""",+2018-04-13T00:00:00Z/11
Q1098539,+1935-04-05T00:00:00Z/11,Q51850225,"""11000730""",+2018-04-13T00:00:00Z/11
Q1329952,+1956-09-19T00:00:00Z/11,Q51850225,"""11000731""",+2018-04-13T00:00:00Z/11
Q2589771,+1941-03-12T00:00:00Z/11,Q51850225,"""11000732""",+2018-04-13T00:00:00Z/11
Q340387,+1947-04-17T00:00:00Z/11,Q51850225,"""11000735""",+2018-04-13T00:00:00Z/11
Q1098394,+1957-04-22T00:00:00Z/11,Q51850225,"""11000736""",+2018-04-13T00:00:00Z/11
Q1522327,+1929-07-19T00:00:00Z/11,Q51850225,"""11000738""",+2018-04-13T00:00:00Z/11
Q532675,+1937-10-22T00:00:00Z/11,Q51850225,"""11000740""",+2018-04-13T00:00:00Z/11
Q1602245,+1939-07-17T00:00:00Z/11,Q51850225,"""11000749""",+2018-04-13T00:00:00Z/11
Q1113089,+1948-10-22T00:00:00Z/11,Q51850225,"""11000750""",+2018-04-13T00:00:00Z/11
Q1733800,+1942-08-24T00:00:00Z/11,Q51850225,"""11000754""",+2018-04-13T00:00:00Z/11
Q1903914,+1952-04-30T00:00:00Z/11,Q51850225,"""11000755""",+2018-04-13T00:00:00Z/11
Q65126,+1948-01-16T00:00:00Z/11,Q51850225,"""11000756""",+2018-04-13T00:00:00Z/11
Q85786,+1934-06-09T00:00:00Z/11,Q51850225,"""11000757""",+2018-04-13T00:00:00Z/11
Q1236245,+1940-02-17T00:00:00Z/11,Q51850225,"""11000758""",+2018-04-13T00:00:00Z/11
Q1444668,+1933-10-26T00:00:00Z/11,Q51850225,"""11000764""",+2018-04-13T00:00:00Z/11
Q1599950,+1955-02-24T00:00:00Z/11,Q51850225,"""11000768""",+2018-04-13T00:00:00Z/11
Q2589814,+1942-11-27T00:00:00Z/11,Q51850225,"""11000770""",+2018-04-13T00:00:00Z/11
Q1577327,+1949-10-10T00:00:00Z/11,Q51850225,"""11000771""",+2018-04-13T00:00:00Z/11
Q1662895,+1937-01-08T00:00:00Z/11,Q51850225,"""11000773""",+2018-04-13T00:00:00Z/11
Q1583867,+1932-03-06T00:00:00Z/11,Q51850225,"""11000774""",+2018-04-13T00:00:00Z/11
Q89878,+1956-11-03T00:00:00Z/11,Q51850225,"""11000775""",+2018-04-13T00:00:00Z/11
Q1513748,+1940-06-05T00:00:00Z/11,Q51850225,"""11000777""",+2018-04-13T00:00:00Z/11
Q1443359,+1937-09-27T00:00:00Z/11,Q51850225,"""11000778""",+2018-04-13T00:00:00Z/11
Q1438961,+1948-04-18T00:00:00Z/11,Q51850225,"""11000780""",+2018-04-13T00:00:00Z/11
Q1036430,+1938-01-26T00:00:00Z/11,Q51850225,"""11000797""",+2018-04-13T00:00:00Z/11
Q1648876,+1942-06-14T00:00:00Z/11,Q51850225,"""11000798""",+2018-04-13T00:00:00Z/11
Q1870846,+1948-10-31T00:00:00Z/11,Q51850225,"""11000800""",+2018-04-13T00:00:00Z/11
Q1078335,+1947-04-06T00:00:00Z/11,Q51850225,"""11000802""",+2018-04-13T00:00:00Z/11
Q1227874,+1942-06-21T00:00:00Z/11,Q51850225,"""11000804""",+2018-04-13T00:00:00Z/11
Q111206,+1938-09-19T00:00:00Z/11,Q51850225,"""11000806""",+2018-04-13T00:00:00Z/11
Q1745179,+1929-01-27T00:00:00Z/11,Q51850225,"""11000814""",+2018-04-13T00:00:00Z/11
Q1539205,+1935-03-25T00:00:00Z/11,Q51850225,"""11000818""",+2018-04-13T00:00:00Z/11
