qid,P569,S248,s528,s813
Q109322,+1933-11-06T00:00:00Z/11,Q51850225,"""11000004""",+2018-04-13T00:00:00Z/11
Q96630,+1950-06-09T00:00:00Z/11,Q51850225,"""11000005""",+2018-04-13T00:00:00Z/11
Q98585,+1936-07-27T00:00:00Z/11,Q51850225,"""11000019""",+2018-04-13T00:00:00Z/11
Q1660815,+1943-04-26T00:00:00Z/11,Q51850225,"""11000022""",+2018-04-13T00:00:00Z/11
Q1926766,+1947-11-25T00:00:00Z/11,Q51850225,"""11000025""",+2018-04-13T00:00:00Z/11
Q102393,+1949-03-28T00:00:00Z/11,Q51850225,"""11000026""",+2018-04-13T00:00:00Z/11
Q103721,+1928-03-12T00:00:00Z/11,Q51850225,"""11000028""",+2018-04-13T00:00:00Z/11
Q2544263,+1946-07-11T00:00:00Z/11,Q51850225,"""11000029""",+2018-04-13T00:00:00Z/11
Q495770,+1955-02-12T00:00:00Z/11,Q51850225,"""11000033""",+2018-04-13T00:00:00Z/11
Q1716959,+1940-05-05T00:00:00Z/11,Q51850225,"""11000036""",+2018-04-13T00:00:00Z/11
Q99899,+1951-04-08T00:00:00Z/11,Q51850225,"""11000038""",+2018-04-13T00:00:00Z/11
Q1221580,+1942-12-01T00:00:00Z/11,Q51850225,"""11000040""",+2018-04-13T00:00:00Z/11
Q1264062,+1939-02-05T00:00:00Z/11,Q51850225,"""11000042""",+2018-04-13T00:00:00Z/11
Q110818,+1931-07-19T00:00:00Z/11,Q51850225,"""11000056""",+2018-04-13T00:00:00Z/11
Q105474,+1941-04-12T00:00:00Z/11,Q51850225,"""11000058""",+2018-04-13T00:00:00Z/11
Q566133,+1930-04-24T00:00:00Z/11,Q51850225,"""11000062""",+2018-04-13T00:00:00Z/11
Q1716965,+1964-06-10T00:00:00Z/11,Q51850225,"""11000063""",+2018-04-13T00:00:00Z/11
Q1478753,+1951-05-25T00:00:00Z/11,Q51850225,"""11000064""",+2018-04-13T00:00:00Z/11
Q95853,+1941-10-22T00:00:00Z/11,Q51850225,"""11000066""",+2018-04-13T00:00:00Z/11
Q1527266,+1938-05-23T00:00:00Z/11,Q51850225,"""11000069""",+2018-04-13T00:00:00Z/11
Q1491016,+1939-07-05T00:00:00Z/11,Q51850225,"""11000072""",+2018-04-13T00:00:00Z/11
Q105461,+1936-01-09T00:00:00Z/11,Q51850225,"""11000088""",+2018-04-13T00:00:00Z/11
Q61250,+1934-11-15T00:00:00Z/11,Q51850225,"""11000089""",+2018-04-13T00:00:00Z/11
Q534162,+1951-11-26T00:00:00Z/11,Q51850225,"""11000091""",+2018-04-13T00:00:00Z/11
Q124373,+1942-01-20T00:00:00Z/11,Q51850225,"""11000095""",+2018-04-13T00:00:00Z/11
Q1478867,+1937-06-28T00:00:00Z/11,Q51850225,"""11000098""",+2018-04-13T00:00:00Z/11
Q100924,+1941-03-28T00:00:00Z/11,Q51850225,"""11000100""",+2018-04-13T00:00:00Z/11
Q1584405,+1949-04-24T00:00:00Z/11,Q51850225,"""11000106""",+2018-04-13T00:00:00Z/11
Q100250,+1939-03-05T00:00:00Z/11,Q51850225,"""11000108""",+2018-04-13T00:00:00Z/11
Q518517,+1932-10-28T00:00:00Z/11,Q51850225,"""11000111""",+2018-04-13T00:00:00Z/11
Q916138,+1946-10-19T00:00:00Z/11,Q51850225,"""11000112""",+2018-04-13T00:00:00Z/11
Q2162654,+1940-08-25T00:00:00Z/11,Q51850225,"""11000131""",+2018-04-13T00:00:00Z/11
Q1663292,+1946-11-20T00:00:00Z/11,Q51850225,"""11000132""",+2018-04-13T00:00:00Z/11
Q77525,+1957-05-24T00:00:00Z/11,Q51850225,"""11000134""",+2018-04-13T00:00:00Z/11
Q1578636,+1938-02-28T00:00:00Z/11,Q51850225,"""11000148""",+2018-04-13T00:00:00Z/11
Q57232,+1946-04-20T00:00:00Z/11,Q51850225,"""11000155""",+2018-04-13T00:00:00Z/11
Q1445797,+1945-03-27T00:00:00Z/11,Q51850225,"""11000160""",+2018-04-13T00:00:00Z/11
Q2543629,+1954-04-07T00:00:00Z/11,Q51850225,"""11000162""",+2018-04-13T00:00:00Z/11
Q1243334,+1946-07-21T00:00:00Z/11,Q51850225,"""11000168""",+2018-04-13T00:00:00Z/11
Q64176,+1930-01-28T00:00:00Z/11,Q51850225,"""11000173""",+2018-04-13T00:00:00Z/11
Q1576917,+1944-03-29T00:00:00Z/11,Q51850225,"""11000179""",+2018-04-13T00:00:00Z/11
Q105884,+1940-09-06T00:00:00Z/11,Q51850225,"""11000181""",+2018-04-13T00:00:00Z/11
Q243081,+1948-01-22T00:00:00Z/11,Q51850225,"""11000184""",+2018-04-13T00:00:00Z/11
Q2080120,+1964-06-12T00:00:00Z/11,Q51850225,"""11000189""",+2018-04-13T00:00:00Z/11
Q1517535,+1947-03-19T00:00:00Z/11,Q51850225,"""11000192""",+2018-04-13T00:00:00Z/11
Q87800,+1941-08-08T00:00:00Z/11,Q51850225,"""11000194""",+2018-04-13T00:00:00Z/11
Q1609872,+1936-02-19T00:00:00Z/11,Q51850225,"""11000197""",+2018-04-13T00:00:00Z/11
Q124941,+1952-07-23T00:00:00Z/11,Q51850225,"""11000198""",+2018-04-13T00:00:00Z/11
Q66632,+1935-07-21T00:00:00Z/11,Q51850225,"""11000204""",+2018-04-13T00:00:00Z/11
Q1824295,+1942-11-19T00:00:00Z/11,Q51850225,"""11000207""",+2018-04-13T00:00:00Z/11
Q1550117,+1943-02-25T00:00:00Z/11,Q51850225,"""11000208""",+2018-04-13T00:00:00Z/11
Q1536330,+1938-05-06T00:00:00Z/11,Q51850225,"""11000210""",+2018-04-13T00:00:00Z/11
Q1752726,+1934-02-09T00:00:00Z/11,Q51850225,"""11000218""",+2018-04-13T00:00:00Z/11
Q98778,+1934-08-06T00:00:00Z/11,Q51850225,"""11000221""",+2018-04-13T00:00:00Z/11
Q692185,+1944-10-05T00:00:00Z/11,Q51850225,"""11000226""",+2018-04-13T00:00:00Z/11
Q89522,+1942-04-26T00:00:00Z/11,Q51850225,"""11000227""",+2018-04-13T00:00:00Z/11
Q1442973,+1956-05-05T00:00:00Z/11,Q51850225,"""11000229""",+2018-04-13T00:00:00Z/11
Q90872,+1945-03-05T00:00:00Z/11,Q51850225,"""11000230""",+2018-04-13T00:00:00Z/11
Q1717030,+1959-10-30T00:00:00Z/11,Q51850225,"""11000232""",+2018-04-13T00:00:00Z/11
Q70066,+1940-04-25T00:00:00Z/11,Q51850225,"""11000233""",+2018-04-13T00:00:00Z/11
Q566248,+1942-10-13T00:00:00Z/11,Q51850225,"""11000234""",+2018-04-13T00:00:00Z/11
Q98509,+1955-09-15T00:00:00Z/11,Q51850225,"""11000238""",+2018-04-13T00:00:00Z/11
Q1714588,+1949-03-13T00:00:00Z/11,Q51850225,"""11000239""",+2018-04-13T00:00:00Z/11
Q102992,+1957-08-01T00:00:00Z/11,Q51850225,"""11000240""",+2018-04-13T00:00:00Z/11
Q1578213,+1930-02-22T00:00:00Z/11,Q51850225,"""11000242""",+2018-04-13T00:00:00Z/11
Q1577546,+1945-08-26T00:00:00Z/11,Q51850225,"""11000248""",+2018-04-13T00:00:00Z/11
Q1044269,+1942-09-12T00:00:00Z/11,Q51850225,"""11000253""",+2018-04-13T00:00:00Z/11
Q1278890,+1950-02-20T00:00:00Z/11,Q51850225,"""11000254""",+2018-04-13T00:00:00Z/11
Q1232751,+1935-12-11T00:00:00Z/11,Q51850225,"""11000256""",+2018-04-13T00:00:00Z/11
Q1405140,+1938-05-03T00:00:00Z/11,Q51850225,"""11000258""",+2018-04-13T00:00:00Z/11
Q2058998,+1950-06-25T00:00:00Z/11,Q51850225,"""11000265""",+2018-04-13T00:00:00Z/11
Q1530902,+1932-05-22T00:00:00Z/11,Q51850225,"""11000271""",+2018-04-13T00:00:00Z/11
Q1944579,+1946-05-04T00:00:00Z/11,Q51850225,"""11000275""",+2018-04-13T00:00:00Z/11
Q449806,+1931-09-23T00:00:00Z/11,Q51850225,"""11000276""",+2018-04-13T00:00:00Z/11
Q98389,+1948-02-18T00:00:00Z/11,Q51850225,"""11000284""",+2018-04-13T00:00:00Z/11
Q2543793,+1924-05-22T00:00:00Z/11,Q51850225,"""11000291""",+2018-04-13T00:00:00Z/11
Q1278903,+1938-06-27T00:00:00Z/11,Q51850225,"""11000293""",+2018-04-13T00:00:00Z/11
Q1578937,+1940-02-02T00:00:00Z/11,Q51850225,"""11000294""",+2018-04-13T00:00:00Z/11
