qid,P569,S248,s528,s813
Q2392856,+1976-12-30T00:00:00Z/11,Q51850225,"""11004143""",+2018-04-13T00:00:00Z/11
Q1929216,+1951-06-25T00:00:00Z/11,Q51850225,"""11004144""",+2018-04-13T00:00:00Z/11
Q71670,+1953-04-17T00:00:00Z/11,Q51850225,"""11004145""",+2018-04-13T00:00:00Z/11
Q1373882,+1968-05-01T00:00:00Z/11,Q51850225,"""11004146""",+2018-04-13T00:00:00Z/11
Q1085801,+1984-02-21T00:00:00Z/11,Q51850225,"""11004147""",+2018-04-13T00:00:00Z/11
Q1226300,+1968-10-22T00:00:00Z/11,Q51850225,"""11004148""",+2018-04-13T00:00:00Z/11
Q688231,+1961-05-20T00:00:00Z/11,Q51850225,"""11004149""",+2018-04-13T00:00:00Z/11
Q1506477,+1974-05-23T00:00:00Z/11,Q51850225,"""11004150""",+2018-04-13T00:00:00Z/11
Q1354111,+1972-06-02T00:00:00Z/11,Q51850225,"""11004151""",+2018-04-13T00:00:00Z/11
Q1201365,+1962-08-15T00:00:00Z/11,Q51850225,"""11004152""",+2018-04-13T00:00:00Z/11
Q2141547,+1952-10-24T00:00:00Z/11,Q51850225,"""11004153""",+2018-04-13T00:00:00Z/11
Q1736525,+1962-03-21T00:00:00Z/11,Q51850225,"""11004154""",+2018-04-13T00:00:00Z/11
Q1280872,+1971-06-25T00:00:00Z/11,Q51850225,"""11004155""",+2018-04-13T00:00:00Z/11
Q1258931,+1964-07-28T00:00:00Z/11,Q51850225,"""11004156""",+2018-04-13T00:00:00Z/11
Q1045675,+1959-01-13T00:00:00Z/11,Q51850225,"""11004157""",+2018-04-13T00:00:00Z/11
Q2562634,+1944-09-27T00:00:00Z/11,Q51850225,"""11004158""",+2018-04-13T00:00:00Z/11
Q1711078,+1975-10-02T00:00:00Z/11,Q51850225,"""11004159""",+2018-04-13T00:00:00Z/11
Q1586826,+1964-01-05T00:00:00Z/11,Q51850225,"""11004160""",+2018-04-13T00:00:00Z/11
Q2444991,+1963-02-07T00:00:00Z/11,Q51850225,"""11004161""",+2018-04-13T00:00:00Z/11
Q1044264,+1952-05-10T00:00:00Z/11,Q51850225,"""11004162""",+2018-04-13T00:00:00Z/11
Q1444251,+1966-03-02T00:00:00Z/11,Q51850225,"""11004163""",+2018-04-13T00:00:00Z/11
Q2301738,+1963-10-22T00:00:00Z/11,Q51850225,"""11004164""",+2018-04-13T00:00:00Z/11
Q49328,+1947-01-10T00:00:00Z/11,Q51850225,"""11004165""",+2018-04-13T00:00:00Z/11
Q104338,+1948-08-21T00:00:00Z/11,Q51850225,"""11004166""",+2018-04-13T00:00:00Z/11
Q76658,+1956-01-05T00:00:00Z/11,Q51850225,"""11004167""",+2018-04-13T00:00:00Z/11
Q1222886,+1964-06-29T00:00:00Z/11,Q51850225,"""11004168""",+2018-04-13T00:00:00Z/11
Q2343892,+1974-04-01T00:00:00Z/11,Q51850225,"""11004169""",+2018-04-13T00:00:00Z/11
Q1729573,+1967-10-14T00:00:00Z/11,Q51850225,"""11004170""",+2018-04-13T00:00:00Z/11
Q1536197,+1953-11-11T00:00:00Z/11,Q51850225,"""11004171""",+2018-04-13T00:00:00Z/11
Q2643127,+1977-04-18T00:00:00Z/11,Q51850225,"""11004172""",+2018-04-13T00:00:00Z/11
Q1262015,+1968-11-11T00:00:00Z/11,Q51850225,"""11004173""",+2018-04-13T00:00:00Z/11
Q124622,+1974-08-22T00:00:00Z/11,Q51850225,"""11004174""",+2018-04-13T00:00:00Z/11
Q2343911,+1968-06-19T00:00:00Z/11,Q51850225,"""11004175""",+2018-04-13T00:00:00Z/11
Q61386,+1955-01-04T00:00:00Z/11,Q51850225,"""11004176""",+2018-04-13T00:00:00Z/11
Q111255,+1972-11-06T00:00:00Z/11,Q51850225,"""11004177""",+2018-04-13T00:00:00Z/11
Q1416148,+1977-04-17T00:00:00Z/11,Q51850225,"""11004178""",+2018-04-13T00:00:00Z/11
Q105426,+1982-04-29T00:00:00Z/11,Q51850225,"""11004179""",+2018-04-13T00:00:00Z/11
Q2338304,+1966-04-25T00:00:00Z/11,Q51850225,"""11004180""",+2018-04-13T00:00:00Z/11
Q1736530,+1963-09-29T00:00:00Z/11,Q51850225,"""11004181""",+2018-04-13T00:00:00Z/11
Q1696501,+1963-02-10T00:00:00Z/11,Q51850225,"""11004182""",+2018-04-13T00:00:00Z/11
Q77193,+1969-07-16T00:00:00Z/11,Q51850225,"""11004183""",+2018-04-13T00:00:00Z/11
Q1163596,+1957-04-04T00:00:00Z/11,Q51850225,"""11004184""",+2018-04-13T00:00:00Z/11
Q1571185,+1973-07-17T00:00:00Z/11,Q51850225,"""11004185""",+2018-04-13T00:00:00Z/11
Q1584809,+1957-02-13T00:00:00Z/11,Q51850225,"""11004186""",+2018-04-13T00:00:00Z/11
Q2209971,+1958-05-26T00:00:00Z/11,Q51850225,"""11004187""",+2018-04-13T00:00:00Z/11
Q1736766,+1973-05-25T00:00:00Z/11,Q51850225,"""11004188""",+2018-04-13T00:00:00Z/11
Q1744798,+1949-01-05T00:00:00Z/11,Q51850225,"""11004189""",+2018-04-13T00:00:00Z/11
Q2508861,+1954-01-22T00:00:00Z/11,Q51850225,"""11004190""",+2018-04-13T00:00:00Z/11
Q1157334,+1960-09-28T00:00:00Z/11,Q51850225,"""11004191""",+2018-04-13T00:00:00Z/11
Q1565606,+1961-05-03T00:00:00Z/11,Q51850225,"""11004192""",+2018-04-13T00:00:00Z/11
Q100615,+1984-09-28T00:00:00Z/11,Q51850225,"""11004197""",+2018-04-13T00:00:00Z/11
Q74211,+1950-05-26T00:00:00Z/11,Q51850225,"""11004203""",+2018-04-13T00:00:00Z/11
Q1082796,+1954-06-04T00:00:00Z/11,Q51850225,"""11004204""",+2018-04-13T00:00:00Z/11
