qid,P569,S248,s528,s813,P570,S248,s528,s813
Q1490141,+1920-03-31T00:00:00Z/11,Q51850225,"""11001563""",+2018-04-13T00:00:00Z/11,+1986-07-13T00:00:00Z/11,Q51850225,"""11001563""",+2018-04-13T00:00:00Z/11
Q2173500,+1924-12-23T00:00:00Z/11,Q51850225,"""11001564""",+2018-04-13T00:00:00Z/11,+1987-04-20T00:00:00Z/11,Q51850225,"""11001564""",+2018-04-13T00:00:00Z/11
Q1542398,+1925-07-14T00:00:00Z/11,Q51850225,"""11001566""",+2018-04-13T00:00:00Z/11,+2007-01-18T00:00:00Z/11,Q51850225,"""11001566""",+2018-04-13T00:00:00Z/11
Q2582086,+1903-10-10T00:00:00Z/11,Q51850225,"""11001567""",+2018-04-13T00:00:00Z/11,+1976-09-19T00:00:00Z/11,Q51850225,"""11001567""",+2018-04-13T00:00:00Z/11
Q363451,+1922-03-01T00:00:00Z/11,Q51850225,"""11001568""",+2018-04-13T00:00:00Z/11,+2011-07-02T00:00:00Z/11,Q51850225,"""11001568""",+2018-04-13T00:00:00Z/11
Q1359569,+1915-09-30T00:00:00Z/11,Q51850225,"""11001569""",+2018-04-13T00:00:00Z/11,+1994-07-19T00:00:00Z/11,Q51850225,"""11001569""",+2018-04-13T00:00:00Z/11
Q1450428,+1897-04-24T00:00:00Z/11,Q51850225,"""11001571""",+2018-04-13T00:00:00Z/11,+1976-06-27T00:00:00Z/11,Q51850225,"""11001571""",+2018-04-13T00:00:00Z/11
Q2577355,+1928-09-10T00:00:00Z/11,Q51850225,"""11001572""",+2018-04-13T00:00:00Z/11,+2013-07-29T00:00:00Z/11,Q51850225,"""11001572""",+2018-04-13T00:00:00Z/11
Q1581456,+1901-07-08T00:00:00Z/11,Q51850225,"""11001573""",+2018-04-13T00:00:00Z/11,+1976-02-05T00:00:00Z/11,Q51850225,"""11001573""",+2018-04-13T00:00:00Z/11
Q1457078,+1896-11-16T00:00:00Z/11,Q51850225,"""11001574""",+2018-04-13T00:00:00Z/11,+1991-04-05T00:00:00Z/11,Q51850225,"""11001574""",+2018-04-13T00:00:00Z/11
Q2033882,+1911-02-20T00:00:00Z/11,Q51850225,"""11001575""",+2018-04-13T00:00:00Z/11,+1983-09-06T00:00:00Z/11,Q51850225,"""11001575""",+2018-04-13T00:00:00Z/11
Q1819256,+1896-08-22T00:00:00Z/11,Q51850225,"""11001576""",+2018-04-13T00:00:00Z/11,+1967-10-02T00:00:00Z/11,Q51850225,"""11001576""",+2018-04-13T00:00:00Z/11
Q1379561,+1911-09-25T00:00:00Z/11,Q51850225,"""11001577""",+2018-04-13T00:00:00Z/11,+2002-06-13T00:00:00Z/11,Q51850225,"""11001577""",+2018-04-13T00:00:00Z/11
Q110920,+1897-12-11T00:00:00Z/11,Q51850225,"""11001578""",+2018-04-13T00:00:00Z/11,+1970-08-14T00:00:00Z/11,Q51850225,"""11001578""",+2018-04-13T00:00:00Z/11
Q1470126,+1904-08-03T00:00:00Z/11,Q51850225,"""11001579""",+2018-04-13T00:00:00Z/11,+1956-05-24T00:00:00Z/11,Q51850225,"""11001579""",+2018-04-13T00:00:00Z/11
Q2562132,+1934-02-18T00:00:00Z/11,Q51850225,"""11001580""",+2018-04-13T00:00:00Z/11,+1993-07-12T00:00:00Z/11,Q51850225,"""11001580""",+2018-04-13T00:00:00Z/11
Q77989,+1924-01-30T00:00:00Z/11,Q51850225,"""11001582""",+2018-04-13T00:00:00Z/11,+2015-01-26T00:00:00Z/11,Q51850225,"""11001582""",+2018-04-13T00:00:00Z/11
