qid,P569,S248,s528,s813,P570,S248,s528,s813
Q1310121,+1962-11-30T00:00:00Z/11,Q51850225,"""11003552""",+2018-04-13T00:00:00Z/11,+2012-08-11T00:00:00Z/11,Q51850225,"""11003552""",+2018-04-13T00:00:00Z/11
Q1245261,+1957-06-10T00:00:00Z/11,Q51850225,"""11003593""",+2018-04-13T00:00:00Z/11,+2012-01-22T00:00:00Z/11,Q51850225,"""11003593""",+2018-04-13T00:00:00Z/11
Q71018,+1941-08-17T00:00:00Z/11,Q51850225,"""11003739""",+2018-04-13T00:00:00Z/11,+2013-08-13T00:00:00Z/11,Q51850225,"""11003739""",+2018-04-13T00:00:00Z/11
Q1692163,+1946-12-27T00:00:00Z/11,Q51850225,"""11003793""",+2018-04-13T00:00:00Z/11,+2008-02-25T00:00:00Z/11,Q51850225,"""11003793""",+2018-04-13T00:00:00Z/11
Q73500,+1979-08-25T00:00:00Z/11,Q51850225,"""11003810""",+2018-04-13T00:00:00Z/11,+2015-07-13T00:00:00Z/11,Q51850225,"""11003810""",+2018-04-13T00:00:00Z/11
Q1296323,+1940-03-13T00:00:00Z/11,Q51850225,"""11003844""",+2018-04-13T00:00:00Z/11,+2016-08-14T00:00:00Z/11,Q51850225,"""11003844""",+2018-04-13T00:00:00Z/11
Q1363210,+1951-02-08T00:00:00Z/11,Q51850225,"""11003895""",+2018-04-13T00:00:00Z/11,+2014-10-07T00:00:00Z/11,Q51850225,"""11003895""",+2018-04-13T00:00:00Z/11
Q1786331,+1952-05-25T00:00:00Z/11,Q51850225,"""11004340""",+2018-04-13T00:00:00Z/11,+2017-12-01T00:00:00Z/11,Q51850225,"""11004340""",+2018-04-13T00:00:00Z/11
