qid,P569,S248,s528,s813,P570,S248,s528,s813
Q1457122,+1921-09-22T00:00:00Z/11,Q51850225,"""11002064""",+2018-04-13T00:00:00Z/11,+1984-07-03T00:00:00Z/11,Q51850225,"""11002064""",+2018-04-13T00:00:00Z/11
Q1603617,+1908-06-17T00:00:00Z/11,Q51850225,"""11002067""",+2018-04-13T00:00:00Z/11,+1991-04-01T00:00:00Z/11,Q51850225,"""11002067""",+2018-04-13T00:00:00Z/11
Q1604449,+1897-01-07T00:00:00Z/11,Q51850225,"""11002068""",+2018-04-13T00:00:00Z/11,+1968-05-07T00:00:00Z/11,Q51850225,"""11002068""",+2018-04-13T00:00:00Z/11
Q1584728,+1929-04-27T00:00:00Z/11,Q51850225,"""11002069""",+2018-04-13T00:00:00Z/11,+1996-07-16T00:00:00Z/11,Q51850225,"""11002069""",+2018-04-13T00:00:00Z/11
Q1678582,+1914-06-24T00:00:00Z/11,Q51850225,"""11002072""",+2018-04-13T00:00:00Z/11,+2007-12-05T00:00:00Z/11,Q51850225,"""11002072""",+2018-04-13T00:00:00Z/11
Q101206,+1946-02-21T00:00:00Z/11,Q51850225,"""11002073""",+2018-04-13T00:00:00Z/11,+2013-04-06T00:00:00Z/11,Q51850225,"""11002073""",+2018-04-13T00:00:00Z/11
Q996538,+1913-02-17T00:00:00Z/11,Q51850225,"""11002074""",+2018-04-13T00:00:00Z/11,+1988-02-15T00:00:00Z/11,Q51850225,"""11002074""",+2018-04-13T00:00:00Z/11
Q1126992,+1933-11-22T00:00:00Z/11,Q51850225,"""11002075""",+2018-04-13T00:00:00Z/11,+2006-09-27T00:00:00Z/11,Q51850225,"""11002075""",+2018-04-13T00:00:00Z/11
Q1220307,+1922-05-05T00:00:00Z/11,Q51850225,"""11002076""",+2018-04-13T00:00:00Z/11,+2009-12-18T00:00:00Z/11,Q51850225,"""11002076""",+2018-04-13T00:00:00Z/11
Q60781,+1910-09-11T00:00:00Z/11,Q51850225,"""11002077""",+2018-04-13T00:00:00Z/11,+1989-12-31T00:00:00Z/11,Q51850225,"""11002077""",+2018-04-13T00:00:00Z/11
Q1598821,+1909-08-23T00:00:00Z/11,Q51850225,"""11002079""",+2018-04-13T00:00:00Z/11,+1989-02-28T00:00:00Z/11,Q51850225,"""11002079""",+2018-04-13T00:00:00Z/11
Q1794074,+1906-12-13T00:00:00Z/11,Q51850225,"""11002081""",+2018-04-13T00:00:00Z/11,+1964-09-06T00:00:00Z/11,Q51850225,"""11002081""",+2018-04-13T00:00:00Z/11
Q104581,+1887-04-02T00:00:00Z/11,Q51850225,"""11002082""",+2018-04-13T00:00:00Z/11,+1957-06-04T00:00:00Z/11,Q51850225,"""11002082""",+2018-04-13T00:00:00Z/11
Q1667583,+1946-10-15T00:00:00Z/11,Q51850225,"""11002084""",+2018-04-13T00:00:00Z/11,+2007-04-10T00:00:00Z/11,Q51850225,"""11002084""",+2018-04-13T00:00:00Z/11
Q110903,+1887-05-29T00:00:00Z/11,Q51850225,"""11002085""",+2018-04-13T00:00:00Z/11,+1952-02-25T00:00:00Z/11,Q51850225,"""11002085""",+2018-04-13T00:00:00Z/11
Q2150550,+1892-11-05T00:00:00Z/11,Q51850225,"""11002088""",+2018-04-13T00:00:00Z/11,+1977-02-19T00:00:00Z/11,Q51850225,"""11002088""",+2018-04-13T00:00:00Z/11
