qid,P569,S248,s528,s813,P570,S248,s528,s813
Q90933,+1897-04-05T00:00:00Z/11,Q51850225,"""11002089""",+2018-04-13T00:00:00Z/11,+1976-09-02T00:00:00Z/11,Q51850225,"""11002089""",+2018-04-13T00:00:00Z/11
Q1230770,+1902-12-11T00:00:00Z/11,Q51850225,"""11002092""",+2018-04-13T00:00:00Z/11,+1972-10-07T00:00:00Z/11,Q51850225,"""11002092""",+2018-04-13T00:00:00Z/11
Q110485,+1901-02-14T00:00:00Z/11,Q51850225,"""11002094""",+2018-04-13T00:00:00Z/11,+1982-01-24T00:00:00Z/11,Q51850225,"""11002094""",+2018-04-13T00:00:00Z/11
Q215756,+1926-09-17T00:00:00Z/11,Q51850225,"""11002095""",+2018-04-13T00:00:00Z/11,+2012-11-29T00:00:00Z/11,Q51850225,"""11002095""",+2018-04-13T00:00:00Z/11
Q1438708,+1885-04-12T00:00:00Z/11,Q51850225,"""11002096""",+2018-04-13T00:00:00Z/11,+1955-07-30T00:00:00Z/11,Q51850225,"""11002096""",+2018-04-13T00:00:00Z/11
Q1505937,+1898-12-01T00:00:00Z/11,Q51850225,"""11002097""",+2018-04-13T00:00:00Z/11,+1990-06-05T00:00:00Z/11,Q51850225,"""11002097""",+2018-04-13T00:00:00Z/11
Q1748788,+1939-12-14T00:00:00Z/11,Q51850225,"""11002098""",+2018-04-13T00:00:00Z/11,+2014-02-17T00:00:00Z/11,Q51850225,"""11002098""",+2018-04-13T00:00:00Z/11
Q1432847,+1930-08-16T00:00:00Z/11,Q51850225,"""11002101""",+2018-04-13T00:00:00Z/11,+1998-09-19T00:00:00Z/11,Q51850225,"""11002101""",+2018-04-13T00:00:00Z/11
Q122071,+1917-02-19T00:00:00Z/11,Q51850225,"""11002103""",+2018-04-13T00:00:00Z/11,+2002-03-02T00:00:00Z/11,Q51850225,"""11002103""",+2018-04-13T00:00:00Z/11
Q1744824,+1915-04-02T00:00:00Z/11,Q51850225,"""11002107""",+2018-04-13T00:00:00Z/11,+2000-11-15T00:00:00Z/11,Q51850225,"""11002107""",+2018-04-13T00:00:00Z/11
Q2699362,+1919-09-01T00:00:00Z/11,Q51850225,"""11002109""",+2018-04-13T00:00:00Z/11,+2006-08-10T00:00:00Z/11,Q51850225,"""11002109""",+2018-04-13T00:00:00Z/11
Q1633406,+1899-08-15T00:00:00Z/11,Q51850225,"""11002111""",+2018-04-13T00:00:00Z/11,+1985-06-23T00:00:00Z/11,Q51850225,"""11002111""",+2018-04-13T00:00:00Z/11
Q1593650,+1919-02-23T00:00:00Z/11,Q51850225,"""11002112""",+2018-04-13T00:00:00Z/11,+2006-03-21T00:00:00Z/11,Q51850225,"""11002112""",+2018-04-13T00:00:00Z/11
Q57465,+1895-10-13T00:00:00Z/11,Q51850225,"""11002113""",+2018-04-13T00:00:00Z/11,+1952-08-20T00:00:00Z/11,Q51850225,"""11002113""",+2018-04-13T00:00:00Z/11
Q1929282,+1946-12-24T00:00:00Z/11,Q51850225,"""11002115""",+2018-04-13T00:00:00Z/11,+2000-12-02T00:00:00Z/11,Q51850225,"""11002115""",+2018-04-13T00:00:00Z/11
Q1581606,+1928-11-11T00:00:00Z/11,Q51850225,"""11002116""",+2018-04-13T00:00:00Z/11,+2010-08-30T00:00:00Z/11,Q51850225,"""11002116""",+2018-04-13T00:00:00Z/11
Q1696174,+1912-10-18T00:00:00Z/11,Q51850225,"""11002117""",+2018-04-13T00:00:00Z/11,+1975-01-09T00:00:00Z/11,Q51850225,"""11002117""",+2018-04-13T00:00:00Z/11
Q98342,+1939-01-20T00:00:00Z/11,Q51850225,"""11002118""",+2018-04-13T00:00:00Z/11,+2001-05-10T00:00:00Z/11,Q51850225,"""11002118""",+2018-04-13T00:00:00Z/11
Q2591337,+1910-10-12T00:00:00Z/11,Q51850225,"""11002119""",+2018-04-13T00:00:00Z/11,+1978-01-04T00:00:00Z/11,Q51850225,"""11002119""",+2018-04-13T00:00:00Z/11
Q1612701,+1899-01-02T00:00:00Z/11,Q51850225,"""11002124""",+2018-04-13T00:00:00Z/11,+1977-01-15T00:00:00Z/11,Q51850225,"""11002124""",+2018-04-13T00:00:00Z/11
Q95839,+1900-01-21T00:00:00Z/11,Q51850225,"""11002127""",+2018-04-13T00:00:00Z/11,+1982-09-02T00:00:00Z/11,Q51850225,"""11002127""",+2018-04-13T00:00:00Z/11
Q65397,+1901-01-07T00:00:00Z/11,Q51850225,"""11002129""",+2018-04-13T00:00:00Z/11,+1986-10-29T00:00:00Z/11,Q51850225,"""11002129""",+2018-04-13T00:00:00Z/11
Q1535024,+1914-03-25T00:00:00Z/11,Q51850225,"""11002130""",+2018-04-13T00:00:00Z/11,+1981-02-13T00:00:00Z/11,Q51850225,"""11002130""",+2018-04-13T00:00:00Z/11
Q1036427,+1924-10-03T00:00:00Z/11,Q51850225,"""11002131""",+2018-04-13T00:00:00Z/11,+2017-07-04T00:00:00Z/11,Q51850225,"""11002131""",+2018-04-13T00:00:00Z/11
Q2591350,+1931-08-05T00:00:00Z/11,Q51850225,"""11002133""",+2018-04-13T00:00:00Z/11,+2011-05-09T00:00:00Z/11,Q51850225,"""11002133""",+2018-04-13T00:00:00Z/11
Q2546267,+1942-08-04T00:00:00Z/11,Q51850225,"""11002134""",+2018-04-13T00:00:00Z/11,+2010-09-24T00:00:00Z/11,Q51850225,"""11002134""",+2018-04-13T00:00:00Z/11
Q1353234,+1918-10-10T00:00:00Z/11,Q51850225,"""11002135""",+2018-04-13T00:00:00Z/11,+1965-01-09T00:00:00Z/11,Q51850225,"""11002135""",+2018-04-13T00:00:00Z/11
Q1612710,+1922-05-01T00:00:00Z/11,Q51850225,"""11002136""",+2018-04-13T00:00:00Z/11,+2017-11-23T00:00:00Z/11,Q51850225,"""11002136""",+2018-04-13T00:00:00Z/11
Q69088,+1903-08-04T00:00:00Z/11,Q51850225,"""11002137""",+2018-04-13T00:00:00Z/11,+1967-09-17T00:00:00Z/11,Q51850225,"""11002137""",+2018-04-13T00:00:00Z/11
Q1496937,+1901-03-13T00:00:00Z/11,Q51850225,"""11002141""",+2018-04-13T00:00:00Z/11,+1984-12-18T00:00:00Z/11,Q51850225,"""11002141""",+2018-04-13T00:00:00Z/11
Q1598867,+1932-07-12T00:00:00Z/11,Q51850225,"""11002142""",+2018-04-13T00:00:00Z/11,+2004-11-03T00:00:00Z/11,Q51850225,"""11002142""",+2018-04-13T00:00:00Z/11
Q1564870,+1905-07-24T00:00:00Z/11,Q51850225,"""11002143""",+2018-04-13T00:00:00Z/11,+1985-02-10T00:00:00Z/11,Q51850225,"""11002143""",+2018-04-13T00:00:00Z/11
Q1696219,+1898-11-28T00:00:00Z/11,Q51850225,"""11002145""",+2018-04-13T00:00:00Z/11,+1963-05-19T00:00:00Z/11,Q51850225,"""11002145""",+2018-04-13T00:00:00Z/11
Q1899361,+1955-05-02T00:00:00Z/11,Q51850225,"""11002146""",+2018-04-13T00:00:00Z/11,+2004-01-18T00:00:00Z/11,Q51850225,"""11002146""",+2018-04-13T00:00:00Z/11
Q1728278,+1945-07-28T00:00:00Z/11,Q51850225,"""11002147""",+2018-04-13T00:00:00Z/11,+2015-12-10T00:00:00Z/11,Q51850225,"""11002147""",+2018-04-13T00:00:00Z/11
Q2087203,+1915-03-20T00:00:00Z/11,Q51850225,"""11002148""",+2018-04-13T00:00:00Z/11,+1987-11-20T00:00:00Z/11,Q51850225,"""11002148""",+2018-04-13T00:00:00Z/11
Q1444180,+1912-05-09T00:00:00Z/11,Q51850225,"""11002149""",+2018-04-13T00:00:00Z/11,+1994-07-04T00:00:00Z/11,Q51850225,"""11002149""",+2018-04-13T00:00:00Z/11
Q1913446,+1906-01-21T00:00:00Z/11,Q51850225,"""11002150""",+2018-04-13T00:00:00Z/11,+1983-03-21T00:00:00Z/11,Q51850225,"""11002150""",+2018-04-13T00:00:00Z/11
Q1449042,+1911-09-30T00:00:00Z/11,Q51850225,"""11002152""",+2018-04-13T00:00:00Z/11,+1992-06-02T00:00:00Z/11,Q51850225,"""11002152""",+2018-04-13T00:00:00Z/11
Q1913447,+1914-02-07T00:00:00Z/11,Q51850225,"""11002157""",+2018-04-13T00:00:00Z/11,+2003-05-12T00:00:00Z/11,Q51850225,"""11002157""",+2018-04-13T00:00:00Z/11
Q1728843,+1944-09-16T00:00:00Z/11,Q51850225,"""11002158""",+2018-04-13T00:00:00Z/11,+2013-05-12T00:00:00Z/11,Q51850225,"""11002158""",+2018-04-13T00:00:00Z/11
Q1698416,+1898-12-16T00:00:00Z/11,Q51850225,"""11002160""",+2018-04-13T00:00:00Z/11,+1973-01-31T00:00:00Z/11,Q51850225,"""11002160""",+2018-04-13T00:00:00Z/11
Q1328671,+1910-02-06T00:00:00Z/11,Q51850225,"""11002163""",+2018-04-13T00:00:00Z/11,+1976-06-14T00:00:00Z/11,Q51850225,"""11002163""",+2018-04-13T00:00:00Z/11
Q1561850,+1910-06-18T00:00:00Z/11,Q51850225,"""11002164""",+2018-04-13T00:00:00Z/11,+1981-12-26T00:00:00Z/11,Q51850225,"""11002164""",+2018-04-13T00:00:00Z/11
Q2546303,+1907-02-04T00:00:00Z/11,Q51850225,"""11002165""",+2018-04-13T00:00:00Z/11,+1989-12-28T00:00:00Z/11,Q51850225,"""11002165""",+2018-04-13T00:00:00Z/11
Q1449065,+1903-05-14T00:00:00Z/11,Q51850225,"""11002166""",+2018-04-13T00:00:00Z/11,+1982-09-29T00:00:00Z/11,Q51850225,"""11002166""",+2018-04-13T00:00:00Z/11
Q1561852,+1905-04-12T00:00:00Z/11,Q51850225,"""11002168""",+2018-04-13T00:00:00Z/11,+1949-11-25T00:00:00Z/11,Q51850225,"""11002168""",+2018-04-13T00:00:00Z/11
Q2576900,+1919-11-10T00:00:00Z/11,Q51850225,"""11002169""",+2018-04-13T00:00:00Z/11,+2006-08-21T00:00:00Z/11,Q51850225,"""11002169""",+2018-04-13T00:00:00Z/11
Q1735310,+1897-01-16T00:00:00Z/11,Q51850225,"""11002170""",+2018-04-13T00:00:00Z/11,+1975-09-14T00:00:00Z/11,Q51850225,"""11002170""",+2018-04-13T00:00:00Z/11
Q1441696,+1917-10-17T00:00:00Z/11,Q51850225,"""11002171""",+2018-04-13T00:00:00Z/11,+1992-03-01T00:00:00Z/11,Q51850225,"""11002171""",+2018-04-13T00:00:00Z/11
Q1340148,+1930-05-31T00:00:00Z/11,Q51850225,"""11002173""",+2018-04-13T00:00:00Z/11,+2001-06-01T00:00:00Z/11,Q51850225,"""11002173""",+2018-04-13T00:00:00Z/11
Q1676334,+1902-01-19T00:00:00Z/11,Q51850225,"""11002174""",+2018-04-13T00:00:00Z/11,+1996-07-07T00:00:00Z/11,Q51850225,"""11002174""",+2018-04-13T00:00:00Z/11
Q1354499,+1940-04-16T00:00:00Z/11,Q51850225,"""11002176""",+2018-04-13T00:00:00Z/11,+2015-05-31T00:00:00Z/11,Q51850225,"""11002176""",+2018-04-13T00:00:00Z/11
Q2060072,+1912-10-30T00:00:00Z/11,Q51850225,"""11002177""",+2018-04-13T00:00:00Z/11,+1978-10-26T00:00:00Z/11,Q51850225,"""11002177""",+2018-04-13T00:00:00Z/11
Q1733028,+1906-09-02T00:00:00Z/11,Q51850225,"""11002180""",+2018-04-13T00:00:00Z/11,+1984-12-25T00:00:00Z/11,Q51850225,"""11002180""",+2018-04-13T00:00:00Z/11
Q1504767,+1943-06-04T00:00:00Z/11,Q51850225,"""11002181""",+2018-04-13T00:00:00Z/11,+2008-03-08T00:00:00Z/11,Q51850225,"""11002181""",+2018-04-13T00:00:00Z/11
Q1286834,+1902-12-21T00:00:00Z/11,Q51850225,"""11002182""",+2018-04-13T00:00:00Z/11,+1978-03-26T00:00:00Z/11,Q51850225,"""11002182""",+2018-04-13T00:00:00Z/11
Q1417579,+1943-10-30T00:00:00Z/11,Q51850225,"""11002184""",+2018-04-13T00:00:00Z/11,+2016-03-18T00:00:00Z/11,Q51850225,"""11002184""",+2018-04-13T00:00:00Z/11
Q1275463,+1924-08-04T00:00:00Z/11,Q51850225,"""11002185""",+2018-04-13T00:00:00Z/11,+1974-06-09T00:00:00Z/11,Q51850225,"""11002185""",+2018-04-13T00:00:00Z/11
Q1462281,+1901-01-19T00:00:00Z/11,Q51850225,"""11002187""",+2018-04-13T00:00:00Z/11,+1973-03-20T00:00:00Z/11,Q51850225,"""11002187""",+2018-04-13T00:00:00Z/11
Q1336845,+1916-08-10T00:00:00Z/11,Q51850225,"""11002188""",+2018-04-13T00:00:00Z/11,+1999-08-16T00:00:00Z/11,Q51850225,"""11002188""",+2018-04-13T00:00:00Z/11
Q1913473,+1894-03-08T00:00:00Z/11,Q51850225,"""11002189""",+2018-04-13T00:00:00Z/11,+1966-01-23T00:00:00Z/11,Q51850225,"""11002189""",+2018-04-13T00:00:00Z/11
Q2062512,+1900-04-26T00:00:00Z/11,Q51850225,"""11002194""",+2018-04-13T00:00:00Z/11,+1982-03-21T00:00:00Z/11,Q51850225,"""11002194""",+2018-04-13T00:00:00Z/11
Q764066,+1893-12-13T00:00:00Z/11,Q51850225,"""11002197""",+2018-04-13T00:00:00Z/11,+1972-06-30T00:00:00Z/11,Q51850225,"""11002197""",+2018-04-13T00:00:00Z/11
Q1705794,+1906-06-23T00:00:00Z/11,Q51850225,"""11002198""",+2018-04-13T00:00:00Z/11,+1985-03-14T00:00:00Z/11,Q51850225,"""11002198""",+2018-04-13T00:00:00Z/11
Q361600,+1929-06-04T00:00:00Z/11,Q51850225,"""11002199""",+2018-04-13T00:00:00Z/11,+2011-02-12T00:00:00Z/11,Q51850225,"""11002199""",+2018-04-13T00:00:00Z/11
Q103507,+1921-05-03T00:00:00Z/11,Q51850225,"""11002200""",+2018-04-13T00:00:00Z/11,+2011-10-23T00:00:00Z/11,Q51850225,"""11002200""",+2018-04-13T00:00:00Z/11
Q1381987,+1924-05-15T00:00:00Z/11,Q51850225,"""11002201""",+2018-04-13T00:00:00Z/11,+1977-05-05T00:00:00Z/11,Q51850225,"""11002201""",+2018-04-13T00:00:00Z/11
Q1408590,+1921-05-13T00:00:00Z/11,Q51850225,"""11002202""",+2018-04-13T00:00:00Z/11,+2014-12-15T00:00:00Z/11,Q51850225,"""11002202""",+2018-04-13T00:00:00Z/11
Q1913480,+1909-04-16T00:00:00Z/11,Q51850225,"""11002204""",+2018-04-13T00:00:00Z/11,+1997-07-09T00:00:00Z/11,Q51850225,"""11002204""",+2018-04-13T00:00:00Z/11
Q76347,+1907-05-21T00:00:00Z/11,Q51850225,"""11002206""",+2018-04-13T00:00:00Z/11,+1970-04-05T00:00:00Z/11,Q51850225,"""11002206""",+2018-04-13T00:00:00Z/11
Q1286942,+1911-11-05T00:00:00Z/11,Q51850225,"""11002207""",+2018-04-13T00:00:00Z/11,+1995-11-11T00:00:00Z/11,Q51850225,"""11002207""",+2018-04-13T00:00:00Z/11
Q2173848,+1925-09-16T00:00:00Z/11,Q51850225,"""11002208""",+2018-04-13T00:00:00Z/11,+2015-03-18T00:00:00Z/11,Q51850225,"""11002208""",+2018-04-13T00:00:00Z/11
Q1360258,+1916-03-16T00:00:00Z/11,Q51850225,"""11002209""",+2018-04-13T00:00:00Z/11,+1998-12-17T00:00:00Z/11,Q51850225,"""11002209""",+2018-04-13T00:00:00Z/11
Q1750248,+1933-01-29T00:00:00Z/11,Q51850225,"""11002210""",+2018-04-13T00:00:00Z/11,+2006-11-27T00:00:00Z/11,Q51850225,"""11002210""",+2018-04-13T00:00:00Z/11
Q2582196,+1903-04-10T00:00:00Z/11,Q51850225,"""11002213""",+2018-04-13T00:00:00Z/11,+1989-10-06T00:00:00Z/11,Q51850225,"""11002213""",+2018-04-13T00:00:00Z/11
Q1612807,+1920-10-01T00:00:00Z/11,Q51850225,"""11002214""",+2018-04-13T00:00:00Z/11,+2005-02-12T00:00:00Z/11,Q51850225,"""11002214""",+2018-04-13T00:00:00Z/11
Q74260,+1920-07-14T00:00:00Z/11,Q51850225,"""11002215""",+2018-04-13T00:00:00Z/11,+1982-05-01T00:00:00Z/11,Q51850225,"""11002215""",+2018-04-13T00:00:00Z/11
Q1578351,+1912-08-05T00:00:00Z/11,Q51850225,"""11002216""",+2018-04-13T00:00:00Z/11,+2004-10-18T00:00:00Z/11,Q51850225,"""11002216""",+2018-04-13T00:00:00Z/11
Q74254,+1911-02-27T00:00:00Z/11,Q51850225,"""11002218""",+2018-04-13T00:00:00Z/11,+2001-01-31T00:00:00Z/11,Q51850225,"""11002218""",+2018-04-13T00:00:00Z/11
Q1747328,+1898-09-25T00:00:00Z/11,Q51850225,"""11002220""",+2018-04-13T00:00:00Z/11,+1981-05-01T00:00:00Z/11,Q51850225,"""11002220""",+2018-04-13T00:00:00Z/11
Q2141553,+1928-09-16T00:00:00Z/11,Q51850225,"""11002221""",+2018-04-13T00:00:00Z/11,+1978-09-11T00:00:00Z/11,Q51850225,"""11002221""",+2018-04-13T00:00:00Z/11
Q1878207,+1940-05-06T00:00:00Z/11,Q51850225,"""11002223""",+2018-04-13T00:00:00Z/11,+1992-05-31T00:00:00Z/11,Q51850225,"""11002223""",+2018-04-13T00:00:00Z/11
Q2062568,+1892-12-17T00:00:00Z/11,Q51850225,"""11002224""",+2018-04-13T00:00:00Z/11,+1956-09-30T00:00:00Z/11,Q51850225,"""11002224""",+2018-04-13T00:00:00Z/11
Q1432991,+1916-12-07T00:00:00Z/11,Q51850225,"""11002225""",+2018-04-13T00:00:00Z/11,+2008-01-24T00:00:00Z/11,Q51850225,"""11002225""",+2018-04-13T00:00:00Z/11
Q714882,+1907-06-10T00:00:00Z/11,Q51850225,"""11002228""",+2018-04-13T00:00:00Z/11,+1986-08-05T00:00:00Z/11,Q51850225,"""11002228""",+2018-04-13T00:00:00Z/11
Q1301702,+1912-11-22T00:00:00Z/11,Q51850225,"""11002229""",+2018-04-13T00:00:00Z/11,+1987-06-05T00:00:00Z/11,Q51850225,"""11002229""",+2018-04-13T00:00:00Z/11
Q96925,+1900-04-26T00:00:00Z/11,Q51850225,"""11002230""",+2018-04-13T00:00:00Z/11,+1967-09-14T00:00:00Z/11,Q51850225,"""11002230""",+2018-04-13T00:00:00Z/11
Q1556421,+1903-04-19T00:00:00Z/11,Q51850225,"""11002231""",+2018-04-13T00:00:00Z/11,+1979-10-21T00:00:00Z/11,Q51850225,"""11002231""",+2018-04-13T00:00:00Z/11
Q1775794,+1892-08-19T00:00:00Z/11,Q51850225,"""11002233""",+2018-04-13T00:00:00Z/11,+1971-02-11T00:00:00Z/11,Q51850225,"""11002233""",+2018-04-13T00:00:00Z/11
Q1712998,+1924-09-18T00:00:00Z/11,Q51850225,"""11002236""",+2018-04-13T00:00:00Z/11,+1997-09-08T00:00:00Z/11,Q51850225,"""11002236""",+2018-04-13T00:00:00Z/11
Q1733085,+1902-08-19T00:00:00Z/11,Q51850225,"""11002237""",+2018-04-13T00:00:00Z/11,+1981-03-13T00:00:00Z/11,Q51850225,"""11002237""",+2018-04-13T00:00:00Z/11
Q2547645,+1925-02-08T00:00:00Z/11,Q51850225,"""11002238""",+2018-04-13T00:00:00Z/11,+2002-03-09T00:00:00Z/11,Q51850225,"""11002238""",+2018-04-13T00:00:00Z/11
Q1583499,+1908-03-02T00:00:00Z/11,Q51850225,"""11002239""",+2018-04-13T00:00:00Z/11,+1978-11-26T00:00:00Z/11,Q51850225,"""11002239""",+2018-04-13T00:00:00Z/11
Q99458,+1897-11-23T00:00:00Z/11,Q51850225,"""11002240""",+2018-04-13T00:00:00Z/11,+1969-10-22T00:00:00Z/11,Q51850225,"""11002240""",+2018-04-13T00:00:00Z/11
Q2582206,+1900-08-20T00:00:00Z/11,Q51850225,"""11002242""",+2018-04-13T00:00:00Z/11,+1969-12-20T00:00:00Z/11,Q51850225,"""11002242""",+2018-04-13T00:00:00Z/11
Q1040700,+1905-11-26T00:00:00Z/11,Q51850225,"""11002243""",+2018-04-13T00:00:00Z/11,+1982-06-29T00:00:00Z/11,Q51850225,"""11002243""",+2018-04-13T00:00:00Z/11
Q1598955,+1898-08-31T00:00:00Z/11,Q51850225,"""11002244""",+2018-04-13T00:00:00Z/11,+1990-09-01T00:00:00Z/11,Q51850225,"""11002244""",+2018-04-13T00:00:00Z/11
Q1493052,+1923-09-02T00:00:00Z/11,Q51850225,"""11002246""",+2018-04-13T00:00:00Z/11,+1999-06-26T00:00:00Z/11,Q51850225,"""11002246""",+2018-04-13T00:00:00Z/11
Q1729999,+1932-07-11T00:00:00Z/11,Q51850225,"""11002249""",+2018-04-13T00:00:00Z/11,+2004-02-17T00:00:00Z/11,Q51850225,"""11002249""",+2018-04-13T00:00:00Z/11
Q1506128,+1897-12-22T00:00:00Z/11,Q51850225,"""11002250""",+2018-04-13T00:00:00Z/11,+1979-05-26T00:00:00Z/11,Q51850225,"""11002250""",+2018-04-13T00:00:00Z/11
Q1506124,+1907-02-09T00:00:00Z/11,Q51850225,"""11002251""",+2018-04-13T00:00:00Z/11,+1992-03-11T00:00:00Z/11,Q51850225,"""11002251""",+2018-04-13T00:00:00Z/11
Q120800,+1919-03-19T00:00:00Z/11,Q51850225,"""11002252""",+2018-04-13T00:00:00Z/11,+2004-03-19T00:00:00Z/11,Q51850225,"""11002252""",+2018-04-13T00:00:00Z/11
Q68748,+1938-03-25T00:00:00Z/11,Q51850225,"""11002253""",+2018-04-13T00:00:00Z/11,+2011-02-19T00:00:00Z/11,Q51850225,"""11002253""",+2018-04-13T00:00:00Z/11
Q1733092,+1928-01-04T00:00:00Z/11,Q51850225,"""11002254""",+2018-04-13T00:00:00Z/11,+2002-08-13T00:00:00Z/11,Q51850225,"""11002254""",+2018-04-13T00:00:00Z/11
Q364311,+1933-10-28T00:00:00Z/11,Q51850225,"""11002255""",+2018-04-13T00:00:00Z/11,+2014-10-01T00:00:00Z/11,Q51850225,"""11002255""",+2018-04-13T00:00:00Z/11
Q1686213,+1925-12-30T00:00:00Z/11,Q51850225,"""11002257""",+2018-04-13T00:00:00Z/11,+2006-07-11T00:00:00Z/11,Q51850225,"""11002257""",+2018-04-13T00:00:00Z/11
Q62214,+1928-09-29T00:00:00Z/11,Q51850225,"""11002259""",+2018-04-13T00:00:00Z/11,+2001-11-23T00:00:00Z/11,Q51850225,"""11002259""",+2018-04-13T00:00:00Z/11
Q1449990,+1914-03-17T00:00:00Z/11,Q51850225,"""11002260""",+2018-04-13T00:00:00Z/11,+1990-03-19T00:00:00Z/11,Q51850225,"""11002260""",+2018-04-13T00:00:00Z/11
Q1385907,+1896-04-14T00:00:00Z/11,Q51850225,"""11002262""",+2018-04-13T00:00:00Z/11,+1971-05-19T00:00:00Z/11,Q51850225,"""11002262""",+2018-04-13T00:00:00Z/11
Q1612842,+1895-09-21T00:00:00Z/11,Q51850225,"""11002263""",+2018-04-13T00:00:00Z/11,+1952-01-06T00:00:00Z/11,Q51850225,"""11002263""",+2018-04-13T00:00:00Z/11
Q90831,+1892-04-01T00:00:00Z/11,Q51850225,"""11002264""",+2018-04-13T00:00:00Z/11,+1975-11-26T00:00:00Z/11,Q51850225,"""11002264""",+2018-04-13T00:00:00Z/11
Q1457780,+1913-05-28T00:00:00Z/11,Q51850225,"""11002265""",+2018-04-13T00:00:00Z/11,+1987-04-19T00:00:00Z/11,Q51850225,"""11002265""",+2018-04-13T00:00:00Z/11
Q1818755,+1908-06-09T00:00:00Z/11,Q51850225,"""11002266""",+2018-04-13T00:00:00Z/11,+1981-12-27T00:00:00Z/11,Q51850225,"""11002266""",+2018-04-13T00:00:00Z/11
Q1598999,+1891-11-22T00:00:00Z/11,Q51850225,"""11002267""",+2018-04-13T00:00:00Z/11,+1968-04-11T00:00:00Z/11,Q51850225,"""11002267""",+2018-04-13T00:00:00Z/11
Q1117344,+1929-06-20T00:00:00Z/11,Q51850225,"""11002268""",+2018-04-13T00:00:00Z/11,+2009-12-24T00:00:00Z/11,Q51850225,"""11002268""",+2018-04-13T00:00:00Z/11
Q44620,+1915-09-06T00:00:00Z/11,Q51850225,"""11002270""",+2018-04-13T00:00:00Z/11,+1988-10-03T00:00:00Z/11,Q51850225,"""11002270""",+2018-04-13T00:00:00Z/11
Q1581033,+1894-09-18T00:00:00Z/11,Q51850225,"""11002271""",+2018-04-13T00:00:00Z/11,+1972-02-01T00:00:00Z/11,Q51850225,"""11002271""",+2018-04-13T00:00:00Z/11
