qid,P569,S248,s528,s813
Q73941,+1937-10-13T00:00:00Z/11,Q51850225,"""11002156""",+2018-04-13T00:00:00Z/11
Q1735311,+1949-05-06T00:00:00Z/11,Q51850225,"""11002159""",+2018-04-13T00:00:00Z/11
Q2285323,+1940-12-22T00:00:00Z/11,Q51850225,"""11002161""",+2018-04-13T00:00:00Z/11
Q1578344,+1954-06-03T00:00:00Z/11,Q51850225,"""11002162""",+2018-04-13T00:00:00Z/11
Q1375048,+1942-04-17T00:00:00Z/11,Q51850225,"""11002167""",+2018-04-13T00:00:00Z/11
Q1629961,+1937-02-07T00:00:00Z/11,Q51850225,"""11002172""",+2018-04-13T00:00:00Z/11
Q1717719,+1943-05-05T00:00:00Z/11,Q51850225,"""11002175""",+2018-04-13T00:00:00Z/11
Q65515,+1943-07-04T00:00:00Z/11,Q51850225,"""11002178""",+2018-04-13T00:00:00Z/11
Q1583943,+1934-06-22T00:00:00Z/11,Q51850225,"""11002179""",+2018-04-13T00:00:00Z/11
Q1489624,+1945-04-12T00:00:00Z/11,Q51850225,"""11002183""",+2018-04-13T00:00:00Z/11
Q1587570,+1939-03-11T00:00:00Z/11,Q51850225,"""11002186""",+2018-04-13T00:00:00Z/11
Q70407,+1940-11-24T00:00:00Z/11,Q51850225,"""11002190""",+2018-04-13T00:00:00Z/11
Q1133474,+1942-08-29T00:00:00Z/11,Q51850225,"""11002191""",+2018-04-13T00:00:00Z/11
Q1557352,+1950-01-23T00:00:00Z/11,Q51850225,"""11002192""",+2018-04-13T00:00:00Z/11
Q1226238,+1939-01-27T00:00:00Z/11,Q51850225,"""11002193""",+2018-04-13T00:00:00Z/11
Q1019050,+1939-08-20T00:00:00Z/11,Q51850225,"""11002195""",+2018-04-13T00:00:00Z/11
Q1224041,+1933-03-01T00:00:00Z/11,Q51850225,"""11002196""",+2018-04-13T00:00:00Z/11
Q92536,+1943-05-15T00:00:00Z/11,Q51850225,"""11002203""",+2018-04-13T00:00:00Z/11
Q95850,+1939-03-28T00:00:00Z/11,Q51850225,"""11002205""",+2018-04-13T00:00:00Z/11
Q533346,+1948-08-16T00:00:00Z/11,Q51850225,"""11002211""",+2018-04-13T00:00:00Z/11
Q1363491,+1931-06-25T00:00:00Z/11,Q51850225,"""11002212""",+2018-04-13T00:00:00Z/11
Q594423,+1929-08-23T00:00:00Z/11,Q51850225,"""11002217""",+2018-04-13T00:00:00Z/11
Q1717733,+1937-12-01T00:00:00Z/11,Q51850225,"""11002219""",+2018-04-13T00:00:00Z/11
Q76401,+1938-05-04T00:00:00Z/11,Q51850225,"""11002222""",+2018-04-13T00:00:00Z/11
Q584606,+1937-03-11T00:00:00Z/11,Q51850225,"""11002226""",+2018-04-13T00:00:00Z/11
Q1683508,+1943-11-08T00:00:00Z/11,Q51850225,"""11002227""",+2018-04-13T00:00:00Z/11
Q500786,+1954-11-30T00:00:00Z/11,Q51850225,"""11002234""",+2018-04-13T00:00:00Z/11
Q1501027,+1936-04-02T00:00:00Z/11,Q51850225,"""11002235""",+2018-04-13T00:00:00Z/11
Q1745750,+1932-11-12T00:00:00Z/11,Q51850225,"""11002241""",+2018-04-13T00:00:00Z/11
Q1710107,+1938-08-01T00:00:00Z/11,Q51850225,"""11002245""",+2018-04-13T00:00:00Z/11
Q98757,+1941-01-22T00:00:00Z/11,Q51850225,"""11002247""",+2018-04-13T00:00:00Z/11
Q87650,+1944-04-09T00:00:00Z/11,Q51850225,"""11002248""",+2018-04-13T00:00:00Z/11
Q85561,+1951-01-01T00:00:00Z/11,Q51850225,"""11002256""",+2018-04-13T00:00:00Z/11
Q997479,+1942-02-15T00:00:00Z/11,Q51850225,"""11002258""",+2018-04-13T00:00:00Z/11
Q1559065,+1938-02-09T00:00:00Z/11,Q51850225,"""11002261""",+2018-04-13T00:00:00Z/11
Q97250,+1948-04-03T00:00:00Z/11,Q51850225,"""11002269""",+2018-04-13T00:00:00Z/11
Q71533,+1939-06-07T00:00:00Z/11,Q51850225,"""11002273""",+2018-04-13T00:00:00Z/11
Q1311202,+1933-07-06T00:00:00Z/11,Q51850225,"""11002277""",+2018-04-13T00:00:00Z/11
Q1514088,+1959-10-17T00:00:00Z/11,Q51850225,"""11002280""",+2018-04-13T00:00:00Z/11
Q1890010,+1942-12-21T00:00:00Z/11,Q51850225,"""11002284""",+2018-04-13T00:00:00Z/11
Q66286,+1937-02-17T00:00:00Z/11,Q51850225,"""11002287""",+2018-04-13T00:00:00Z/11
Q1601039,+1951-10-30T00:00:00Z/11,Q51850225,"""11002289""",+2018-04-13T00:00:00Z/11
Q1246288,+1951-01-24T00:00:00Z/11,Q51850225,"""11002295""",+2018-04-13T00:00:00Z/11
Q1662937,+1939-01-17T00:00:00Z/11,Q51850225,"""11002298""",+2018-04-13T00:00:00Z/11
Q1421748,+1958-12-10T00:00:00Z/11,Q51850225,"""11002300""",+2018-04-13T00:00:00Z/11
Q1133468,+1947-09-18T00:00:00Z/11,Q51850225,"""11002302""",+2018-04-13T00:00:00Z/11
Q1366127,+1941-09-23T00:00:00Z/11,Q51850225,"""11002305""",+2018-04-13T00:00:00Z/11
Q1896114,+1951-11-03T00:00:00Z/11,Q51850225,"""11002308""",+2018-04-13T00:00:00Z/11
Q1510020,+1950-06-29T00:00:00Z/11,Q51850225,"""11002311""",+2018-04-13T00:00:00Z/11
Q2018100,+1958-09-22T00:00:00Z/11,Q51850225,"""11002312""",+2018-04-13T00:00:00Z/11
Q1576560,+1921-08-29T00:00:00Z/11,Q51850225,"""11002314""",+2018-04-13T00:00:00Z/11
Q1036557,+1953-08-09T00:00:00Z/11,Q51850225,"""11002315""",+2018-04-13T00:00:00Z/11
Q62703,+1943-10-22T00:00:00Z/11,Q51850225,"""11002318""",+2018-04-13T00:00:00Z/11
Q1222912,+1940-06-23T00:00:00Z/11,Q51850225,"""11002320""",+2018-04-13T00:00:00Z/11
Q1271409,+1940-02-22T00:00:00Z/11,Q51850225,"""11002322""",+2018-04-13T00:00:00Z/11
Q1444314,+1938-04-20T00:00:00Z/11,Q51850225,"""11002324""",+2018-04-13T00:00:00Z/11
Q1405846,+1932-06-27T00:00:00Z/11,Q51850225,"""11002326""",+2018-04-13T00:00:00Z/11
Q1717767,+1936-09-15T00:00:00Z/11,Q51850225,"""11002329""",+2018-04-13T00:00:00Z/11
Q2502822,+1942-12-28T00:00:00Z/11,Q51850225,"""11002331""",+2018-04-13T00:00:00Z/11
Q88267,+1940-11-12T00:00:00Z/11,Q51850225,"""11002333""",+2018-04-13T00:00:00Z/11
Q62889,+1938-07-29T00:00:00Z/11,Q51850225,"""11002335""",+2018-04-13T00:00:00Z/11
Q1561145,+1934-05-07T00:00:00Z/11,Q51850225,"""11002337""",+2018-04-13T00:00:00Z/11
Q2581363,+1948-07-24T00:00:00Z/11,Q51850225,"""11002338""",+2018-04-13T00:00:00Z/11
Q1354527,+1947-02-15T00:00:00Z/11,Q51850225,"""11002342""",+2018-04-13T00:00:00Z/11
Q1717781,+1947-02-07T00:00:00Z/11,Q51850225,"""11002348""",+2018-04-13T00:00:00Z/11
Q2141058,+1948-04-24T00:00:00Z/11,Q51850225,"""11002349""",+2018-04-13T00:00:00Z/11
Q1794181,+1939-10-31T00:00:00Z/11,Q51850225,"""11002350""",+2018-04-13T00:00:00Z/11
Q2209950,+1943-05-01T00:00:00Z/11,Q51850225,"""11002351""",+2018-04-13T00:00:00Z/11
Q1744751,+1936-01-09T00:00:00Z/11,Q51850225,"""11002352""",+2018-04-13T00:00:00Z/11
Q1223322,+1944-11-20T00:00:00Z/11,Q51850225,"""11002356""",+2018-04-13T00:00:00Z/11
Q1258185,+1925-03-07T00:00:00Z/11,Q51850225,"""11002358""",+2018-04-13T00:00:00Z/11
Q1576923,+1929-04-09T00:00:00Z/11,Q51850225,"""11002360""",+2018-04-13T00:00:00Z/11
Q1717788,+1939-02-12T00:00:00Z/11,Q51850225,"""11002361""",+2018-04-13T00:00:00Z/11
Q1582862,+1944-04-06T00:00:00Z/11,Q51850225,"""11002369""",+2018-04-13T00:00:00Z/11
Q2167961,+1927-04-26T00:00:00Z/11,Q51850225,"""11002371""",+2018-04-13T00:00:00Z/11
Q792395,+1956-06-03T00:00:00Z/11,Q51850225,"""11002376""",+2018-04-13T00:00:00Z/11
Q74268,+1932-12-19T00:00:00Z/11,Q51850225,"""11002377""",+2018-04-13T00:00:00Z/11
Q552483,+1926-02-03T00:00:00Z/11,Q51850225,"""11002379""",+2018-04-13T00:00:00Z/11
Q121795,+1941-02-17T00:00:00Z/11,Q51850225,"""11002383""",+2018-04-13T00:00:00Z/11
Q1631485,+1941-06-21T00:00:00Z/11,Q51850225,"""11002385""",+2018-04-13T00:00:00Z/11
Q1322948,+1939-11-05T00:00:00Z/11,Q51850225,"""11002386""",+2018-04-13T00:00:00Z/11
Q90939,+1941-04-11T00:00:00Z/11,Q51850225,"""11002388""",+2018-04-13T00:00:00Z/11
Q824350,+1939-07-10T00:00:00Z/11,Q51850225,"""11002389""",+2018-04-13T00:00:00Z/11
Q103336,+1943-05-31T00:00:00Z/11,Q51850225,"""11002391""",+2018-04-13T00:00:00Z/11
Q1662598,+1952-02-17T00:00:00Z/11,Q51850225,"""11002393""",+2018-04-13T00:00:00Z/11
Q1400145,+1935-12-31T00:00:00Z/11,Q51850225,"""11002394""",+2018-04-13T00:00:00Z/11
Q1287088,+1938-11-26T00:00:00Z/11,Q51850225,"""11002406""",+2018-04-13T00:00:00Z/11
Q1601107,+1939-09-16T00:00:00Z/11,Q51850225,"""11002407""",+2018-04-13T00:00:00Z/11
Q1899365,+1952-03-31T00:00:00Z/11,Q51850225,"""11002410""",+2018-04-13T00:00:00Z/11
Q62077,+1939-04-22T00:00:00Z/11,Q51850225,"""11002412""",+2018-04-13T00:00:00Z/11
Q1730013,+1936-02-26T00:00:00Z/11,Q51850225,"""11002414""",+2018-04-13T00:00:00Z/11
Q1498211,+1939-12-25T00:00:00Z/11,Q51850225,"""11002417""",+2018-04-13T00:00:00Z/11
Q315128,+1958-03-15T00:00:00Z/11,Q51850225,"""11002422""",+2018-04-13T00:00:00Z/11
Q1663425,+1936-06-11T00:00:00Z/11,Q51850225,"""11002426""",+2018-04-13T00:00:00Z/11
Q2643229,+1934-05-14T00:00:00Z/11,Q51850225,"""11002429""",+2018-04-13T00:00:00Z/11
Q1510889,+1944-06-26T00:00:00Z/11,Q51850225,"""11002430""",+2018-04-13T00:00:00Z/11
Q1586203,+1941-09-22T00:00:00Z/11,Q51850225,"""11002431""",+2018-04-13T00:00:00Z/11
Q1733307,+1936-02-26T00:00:00Z/11,Q51850225,"""11002438""",+2018-04-13T00:00:00Z/11
