qid,P569,S248,s528,s813,P570,S248,s528,s813
Q2544321,+1922-06-10T00:00:00Z/11,Q51850225,"""11000601""",+2018-04-13T00:00:00Z/11,+1991-01-07T00:00:00Z/11,Q51850225,"""11000601""",+2018-04-13T00:00:00Z/11
Q15810592,+1906-03-30T00:00:00Z/11,Q51850225,"""11000603""",+2018-04-13T00:00:00Z/11,+1979-02-24T00:00:00Z/11,Q51850225,"""11000603""",+2018-04-13T00:00:00Z/11
Q15423043,+1921-07-07T00:00:00Z/11,Q51850225,"""11000604""",+2018-04-13T00:00:00Z/11,+1984-09-19T00:00:00Z/11,Q51850225,"""11000604""",+2018-04-13T00:00:00Z/11
Q1277096,+1914-05-20T00:00:00Z/11,Q51850225,"""11000606""",+2018-04-13T00:00:00Z/11,+1995-09-14T00:00:00Z/11,Q51850225,"""11000606""",+2018-04-13T00:00:00Z/11
Q1600238,+1906-11-26T00:00:00Z/11,Q51850225,"""11000608""",+2018-04-13T00:00:00Z/11,+1979-10-24T00:00:00Z/11,Q51850225,"""11000608""",+2018-04-13T00:00:00Z/11
Q1673925,+1922-04-13T00:00:00Z/11,Q51850225,"""11000609""",+2018-04-13T00:00:00Z/11,+2002-08-28T00:00:00Z/11,Q51850225,"""11000609""",+2018-04-13T00:00:00Z/11
Q1304550,+1890-06-05T00:00:00Z/11,Q51850225,"""11000610""",+2018-04-13T00:00:00Z/11,+1970-04-19T00:00:00Z/11,Q51850225,"""11000610""",+2018-04-13T00:00:00Z/11
Q104203,+1900-01-02T00:00:00Z/11,Q51850225,"""11000612""",+2018-04-13T00:00:00Z/11,+1969-03-21T00:00:00Z/11,Q51850225,"""11000612""",+2018-04-13T00:00:00Z/11
Q109243,+1920-09-11T00:00:00Z/11,Q51850225,"""11000613""",+2018-04-13T00:00:00Z/11,+1989-03-31T00:00:00Z/11,Q51850225,"""11000613""",+2018-04-13T00:00:00Z/11
Q100503,+1910-05-27T00:00:00Z/11,Q51850225,"""11000617""",+2018-04-13T00:00:00Z/11,+1981-07-10T00:00:00Z/11,Q51850225,"""11000617""",+2018-04-13T00:00:00Z/11
Q101974,+1895-10-26T00:00:00Z/11,Q51850225,"""11000618""",+2018-04-13T00:00:00Z/11,+1981-05-13T00:00:00Z/11,Q51850225,"""11000618""",+2018-04-13T00:00:00Z/11
Q1485298,+1918-07-20T00:00:00Z/11,Q51850225,"""11000620""",+2018-04-13T00:00:00Z/11,+2012-08-01T00:00:00Z/11,Q51850225,"""11000620""",+2018-04-13T00:00:00Z/11
Q2032744,+1885-06-17T00:00:00Z/11,Q51850225,"""11000621""",+2018-04-13T00:00:00Z/11,+1965-07-06T00:00:00Z/11,Q51850225,"""11000621""",+2018-04-13T00:00:00Z/11
Q121232,+1900-10-03T00:00:00Z/11,Q51850225,"""11000622""",+2018-04-13T00:00:00Z/11,+1963-08-05T00:00:00Z/11,Q51850225,"""11000622""",+2018-04-13T00:00:00Z/11
Q1895408,+1946-01-23T00:00:00Z/11,Q51850225,"""11000625""",+2018-04-13T00:00:00Z/11,+1998-03-11T00:00:00Z/11,Q51850225,"""11000625""",+2018-04-13T00:00:00Z/11
Q65657,+1904-06-05T00:00:00Z/11,Q51850225,"""11000626""",+2018-04-13T00:00:00Z/11,+1975-06-29T00:00:00Z/11,Q51850225,"""11000626""",+2018-04-13T00:00:00Z/11
Q1329920,+1900-05-30T00:00:00Z/11,Q51850225,"""11000632""",+2018-04-13T00:00:00Z/11,+1983-08-27T00:00:00Z/11,Q51850225,"""11000632""",+2018-04-13T00:00:00Z/11
Q1448196,+1889-12-25T00:00:00Z/11,Q51850225,"""11000633""",+2018-04-13T00:00:00Z/11,+1975-10-29T00:00:00Z/11,Q51850225,"""11000633""",+2018-04-13T00:00:00Z/11
Q1067195,+1929-03-24T00:00:00Z/11,Q51850225,"""11000635""",+2018-04-13T00:00:00Z/11,+2013-02-17T00:00:00Z/11,Q51850225,"""11000635""",+2018-04-13T00:00:00Z/11
Q2544393,+1903-03-03T00:00:00Z/11,Q51850225,"""11000636""",+2018-04-13T00:00:00Z/11,+1979-01-09T00:00:00Z/11,Q51850225,"""11000636""",+2018-04-13T00:00:00Z/11
Q1527518,+1931-12-24T00:00:00Z/11,Q51850225,"""11000637""",+2018-04-13T00:00:00Z/11,+1994-01-27T00:00:00Z/11,Q51850225,"""11000637""",+2018-04-13T00:00:00Z/11
Q1731202,+1921-07-06T00:00:00Z/11,Q51850225,"""11000638""",+2018-04-13T00:00:00Z/11,+1975-08-15T00:00:00Z/11,Q51850225,"""11000638""",+2018-04-13T00:00:00Z/11
Q1731203,+1889-02-01T00:00:00Z/11,Q51850225,"""11000640""",+2018-04-13T00:00:00Z/11,+1972-01-17T00:00:00Z/11,Q51850225,"""11000640""",+2018-04-13T00:00:00Z/11
