qid,P569,S248,s528,s813,P570,S248,s528,s813
Q75808,+1901-03-21T00:00:00Z/11,Q51850225,"""11000052""",+2018-04-13T00:00:00Z/11,+1958-06-29T00:00:00Z/11,Q51850225,"""11000052""",+2018-04-13T00:00:00Z/11
Q2415575,+1882-12-11T00:00:00Z/11,Q51850225,"""11000053""",+2018-04-13T00:00:00Z/11,+1966-01-26T00:00:00Z/11,Q51850225,"""11000053""",+2018-04-13T00:00:00Z/11
Q1603355,+1912-04-22T00:00:00Z/11,Q51850225,"""11000054""",+2018-04-13T00:00:00Z/11,+1996-10-02T00:00:00Z/11,Q51850225,"""11000054""",+2018-04-13T00:00:00Z/11
Q1698511,+1899-04-11T00:00:00Z/11,Q51850225,"""11000055""",+2018-04-13T00:00:00Z/11,+1972-08-11T00:00:00Z/11,Q51850225,"""11000055""",+2018-04-13T00:00:00Z/11
Q1730336,+1895-09-22T00:00:00Z/11,Q51850225,"""11000057""",+2018-04-13T00:00:00Z/11,+1995-06-18T00:00:00Z/11,Q51850225,"""11000057""",+2018-04-13T00:00:00Z/11
Q1596587,+1898-02-03T00:00:00Z/11,Q51850225,"""11000059""",+2018-04-13T00:00:00Z/11,+1977-02-21T00:00:00Z/11,Q51850225,"""11000059""",+2018-04-13T00:00:00Z/11
Q1577617,+1925-01-16T00:00:00Z/11,Q51850225,"""11000060""",+2018-04-13T00:00:00Z/11,+2001-10-07T00:00:00Z/11,Q51850225,"""11000060""",+2018-04-13T00:00:00Z/11
Q62414,+1923-11-05T00:00:00Z/11,Q51850225,"""11000061""",+2018-04-13T00:00:00Z/11,+2002-11-07T00:00:00Z/11,Q51850225,"""11000061""",+2018-04-13T00:00:00Z/11
Q1610588,+1915-04-30T00:00:00Z/11,Q51850225,"""11000065""",+2018-04-13T00:00:00Z/11,+1955-05-30T00:00:00Z/11,Q51850225,"""11000065""",+2018-04-13T00:00:00Z/11
Q102408,+1921-02-03T00:00:00Z/11,Q51850225,"""11000067""",+2018-04-13T00:00:00Z/11,+2006-07-05T00:00:00Z/11,Q51850225,"""11000067""",+2018-04-13T00:00:00Z/11
Q113188,+1893-01-23T00:00:00Z/11,Q51850225,"""11000068""",+2018-04-13T00:00:00Z/11,+1974-05-15T00:00:00Z/11,Q51850225,"""11000068""",+2018-04-13T00:00:00Z/11
Q1447470,+1917-02-04T00:00:00Z/11,Q51850225,"""11000070""",+2018-04-13T00:00:00Z/11,+2001-08-03T00:00:00Z/11,Q51850225,"""11000070""",+2018-04-13T00:00:00Z/11
Q2156405,+1901-12-07T00:00:00Z/11,Q51850225,"""11000071""",+2018-04-13T00:00:00Z/11,+1976-06-10T00:00:00Z/11,Q51850225,"""11000071""",+2018-04-13T00:00:00Z/11
Q1586103,+1901-05-23T00:00:00Z/11,Q51850225,"""11000073""",+2018-04-13T00:00:00Z/11,+1981-06-12T00:00:00Z/11,Q51850225,"""11000073""",+2018-04-13T00:00:00Z/11
Q2283258,+1920-02-14T00:00:00Z/11,Q51850225,"""11000074""",+2018-04-13T00:00:00Z/11,+2008-09-01T00:00:00Z/11,Q51850225,"""11000074""",+2018-04-13T00:00:00Z/11
Q1577247,+1922-04-15T00:00:00Z/11,Q51850225,"""11000075""",+2018-04-13T00:00:00Z/11,+2007-11-11T00:00:00Z/11,Q51850225,"""11000075""",+2018-04-13T00:00:00Z/11
Q2576988,+1926-03-24T00:00:00Z/11,Q51850225,"""11000076""",+2018-04-13T00:00:00Z/11,+1996-02-01T00:00:00Z/11,Q51850225,"""11000076""",+2018-04-13T00:00:00Z/11
Q1550670,+1901-11-29T00:00:00Z/11,Q51850225,"""11000077""",+2018-04-13T00:00:00Z/11,+1973-09-25T00:00:00Z/11,Q51850225,"""11000077""",+2018-04-13T00:00:00Z/11
Q2571817,+1888-10-27T00:00:00Z/11,Q51850225,"""11000078""",+2018-04-13T00:00:00Z/11,+1958-02-17T00:00:00Z/11,Q51850225,"""11000078""",+2018-04-13T00:00:00Z/11
Q101429,+1939-06-08T00:00:00Z/11,Q51850225,"""11000079""",+2018-04-13T00:00:00Z/11,+2009-05-21T00:00:00Z/11,Q51850225,"""11000079""",+2018-04-13T00:00:00Z/11
Q62206,+1922-03-18T00:00:00Z/11,Q51850225,"""11000080""",+2018-04-13T00:00:00Z/11,+2015-08-19T00:00:00Z/11,Q51850225,"""11000080""",+2018-04-13T00:00:00Z/11
Q1465583,+1923-06-02T00:00:00Z/11,Q51850225,"""11000081""",+2018-04-13T00:00:00Z/11,+2012-03-01T00:00:00Z/11,Q51850225,"""11000081""",+2018-04-13T00:00:00Z/11
Q2637550,+1917-12-08T00:00:00Z/11,Q51850225,"""11000082""",+2018-04-13T00:00:00Z/11,+1991-10-25T00:00:00Z/11,Q51850225,"""11000082""",+2018-04-13T00:00:00Z/11
Q75966,+1902-06-01T00:00:00Z/11,Q51850225,"""11000083""",+2018-04-13T00:00:00Z/11,+1984-06-11T00:00:00Z/11,Q51850225,"""11000083""",+2018-04-13T00:00:00Z/11
Q824724,+1914-11-16T00:00:00Z/11,Q51850225,"""11000084""",+2018-04-13T00:00:00Z/11,+2004-11-09T00:00:00Z/11,Q51850225,"""11000084""",+2018-04-13T00:00:00Z/11
Q1578546,+1917-08-15T00:00:00Z/11,Q51850225,"""11000085""",+2018-04-13T00:00:00Z/11,+2004-10-23T00:00:00Z/11,Q51850225,"""11000085""",+2018-04-13T00:00:00Z/11
Q1469714,+1924-09-06T00:00:00Z/11,Q51850225,"""11000086""",+2018-04-13T00:00:00Z/11,+2012-11-04T00:00:00Z/11,Q51850225,"""11000086""",+2018-04-13T00:00:00Z/11
Q112216,+1930-12-19T00:00:00Z/11,Q51850225,"""11000087""",+2018-04-13T00:00:00Z/11,+2001-01-31T00:00:00Z/11,Q51850225,"""11000087""",+2018-04-13T00:00:00Z/11
Q100514,+1911-04-18T00:00:00Z/11,Q51850225,"""11000090""",+2018-04-13T00:00:00Z/11,+1965-04-16T00:00:00Z/11,Q51850225,"""11000090""",+2018-04-13T00:00:00Z/11
Q112201,+1913-07-29T00:00:00Z/11,Q51850225,"""11000092""",+2018-04-13T00:00:00Z/11,+2001-11-28T00:00:00Z/11,Q51850225,"""11000092""",+2018-04-13T00:00:00Z/11
