qid,P569,S248,s528,s813
Q272658,+1929-10-11T00:00:00Z/11,Q51850225,"""11002518""",+2018-04-13T00:00:00Z/11
Q111285,+1952-10-19T00:00:00Z/11,Q51850225,"""11002519""",+2018-04-13T00:00:00Z/11
Q824410,+1942-12-13T00:00:00Z/11,Q51850225,"""11002521""",+2018-04-13T00:00:00Z/11
Q1613092,+1936-07-18T00:00:00Z/11,Q51850225,"""11002522""",+2018-04-13T00:00:00Z/11
Q2582265,+1943-05-18T00:00:00Z/11,Q51850225,"""11002524""",+2018-04-13T00:00:00Z/11
Q316609,+1949-04-15T00:00:00Z/11,Q51850225,"""11002534""",+2018-04-13T00:00:00Z/11
Q1265584,+1933-02-02T00:00:00Z/11,Q51850225,"""11002535""",+2018-04-13T00:00:00Z/11
Q1257864,+1932-05-21T00:00:00Z/11,Q51850225,"""11002536""",+2018-04-13T00:00:00Z/11
Q828093,+1933-10-18T00:00:00Z/11,Q51850225,"""11002538""",+2018-04-13T00:00:00Z/11
Q107648,+1933-03-21T00:00:00Z/11,Q51850225,"""11002540""",+2018-04-13T00:00:00Z/11
Q1632102,+1947-12-14T00:00:00Z/11,Q51850225,"""11002543""",+2018-04-13T00:00:00Z/11
Q1223046,+1943-02-23T00:00:00Z/11,Q51850225,"""11002548""",+2018-04-13T00:00:00Z/11
Q2515345,+1944-06-08T00:00:00Z/11,Q51850225,"""11002549""",+2018-04-13T00:00:00Z/11
Q1575758,+1936-06-14T00:00:00Z/11,Q51850225,"""11002553""",+2018-04-13T00:00:00Z/11
Q1671024,+1936-08-30T00:00:00Z/11,Q51850225,"""11002557""",+2018-04-13T00:00:00Z/11
Q1265695,+1926-02-26T00:00:00Z/11,Q51850225,"""11002560""",+2018-04-13T00:00:00Z/11
Q826194,+1930-03-14T00:00:00Z/11,Q51850225,"""11002563""",+2018-04-13T00:00:00Z/11
Q1871036,+1930-11-12T00:00:00Z/11,Q51850225,"""11002566""",+2018-04-13T00:00:00Z/11
Q1331596,+1947-11-07T00:00:00Z/11,Q51850225,"""11002567""",+2018-04-13T00:00:00Z/11
Q122752,+1955-07-09T00:00:00Z/11,Q51850225,"""11002568""",+2018-04-13T00:00:00Z/11
Q2502827,+1944-08-19T00:00:00Z/11,Q51850225,"""11002569""",+2018-04-13T00:00:00Z/11
Q1464127,+1939-09-06T00:00:00Z/11,Q51850225,"""11002571""",+2018-04-13T00:00:00Z/11
Q1700346,+1937-12-15T00:00:00Z/11,Q51850225,"""11002572""",+2018-04-13T00:00:00Z/11
Q1681310,+1933-01-05T00:00:00Z/11,Q51850225,"""11002574""",+2018-04-13T00:00:00Z/11
Q2150961,+1920-08-26T00:00:00Z/11,Q51850225,"""11002576""",+2018-04-13T00:00:00Z/11
Q1539530,+1929-09-24T00:00:00Z/11,Q51850225,"""11002577""",+2018-04-13T00:00:00Z/11
Q1133465,+1961-07-28T00:00:00Z/11,Q51850225,"""11002580""",+2018-04-13T00:00:00Z/11
Q107515,+1941-08-14T00:00:00Z/11,Q51850225,"""11002582""",+2018-04-13T00:00:00Z/11
Q1729588,+1953-07-06T00:00:00Z/11,Q51850225,"""11002586""",+2018-04-13T00:00:00Z/11
Q2591830,+1941-07-05T00:00:00Z/11,Q51850225,"""11002588""",+2018-04-13T00:00:00Z/11
Q818010,+1934-03-24T00:00:00Z/11,Q51850225,"""11002594""",+2018-04-13T00:00:00Z/11
Q1744797,+1946-12-08T00:00:00Z/11,Q51850225,"""11002602""",+2018-04-13T00:00:00Z/11
Q1767429,+1942-06-18T00:00:00Z/11,Q51850225,"""11002603""",+2018-04-13T00:00:00Z/11
Q1086148,+1943-07-04T00:00:00Z/11,Q51850225,"""11002604""",+2018-04-13T00:00:00Z/11
Q2079222,+1936-09-17T00:00:00Z/11,Q51850225,"""11002608""",+2018-04-13T00:00:00Z/11
Q1111836,+1945-05-29T00:00:00Z/11,Q51850225,"""11002609""",+2018-04-13T00:00:00Z/11
Q1016516,+1958-05-16T00:00:00Z/11,Q51850225,"""11002610""",+2018-04-13T00:00:00Z/11
Q2562973,+1940-05-21T00:00:00Z/11,Q51850225,"""11002612""",+2018-04-13T00:00:00Z/11
Q65539,+1958-06-18T00:00:00Z/11,Q51850225,"""11002617""",+2018-04-13T00:00:00Z/11
Q1426615,+1949-05-22T00:00:00Z/11,Q51850225,"""11002618""",+2018-04-13T00:00:00Z/11
Q1329726,+1943-10-12T00:00:00Z/11,Q51850225,"""11002619""",+2018-04-13T00:00:00Z/11
Q99055,+1945-06-11T00:00:00Z/11,Q51850225,"""11002620""",+2018-04-13T00:00:00Z/11
Q113994,+1953-05-22T00:00:00Z/11,Q51850225,"""11002621""",+2018-04-13T00:00:00Z/11
Q95515,+1955-12-28T00:00:00Z/11,Q51850225,"""11002622""",+2018-04-13T00:00:00Z/11
Q1448495,+1944-08-22T00:00:00Z/11,Q51850225,"""11002623""",+2018-04-13T00:00:00Z/11
Q96967,+1952-06-25T00:00:00Z/11,Q51850225,"""11002624""",+2018-04-13T00:00:00Z/11
Q57322,+1960-12-12T00:00:00Z/11,Q51850225,"""11002625""",+2018-04-13T00:00:00Z/11
Q2589179,+1938-10-26T00:00:00Z/11,Q51850225,"""11002626""",+2018-04-13T00:00:00Z/11
Q105123,+1971-01-31T00:00:00Z/11,Q51850225,"""11002627""",+2018-04-13T00:00:00Z/11
Q1370762,+1944-07-02T00:00:00Z/11,Q51850225,"""11002628""",+2018-04-13T00:00:00Z/11
Q2589226,+1952-06-12T00:00:00Z/11,Q51850225,"""11002629""",+2018-04-13T00:00:00Z/11
Q67529,+1950-04-23T00:00:00Z/11,Q51850225,"""11002630""",+2018-04-13T00:00:00Z/11
Q1678630,+1954-03-29T00:00:00Z/11,Q51850225,"""11002631""",+2018-04-13T00:00:00Z/11
Q102506,+1952-06-11T00:00:00Z/11,Q51850225,"""11002632""",+2018-04-13T00:00:00Z/11
Q2172458,+1955-06-25T00:00:00Z/11,Q51850225,"""11002633""",+2018-04-13T00:00:00Z/11
Q1618299,+1944-06-23T00:00:00Z/11,Q51850225,"""11002634""",+2018-04-13T00:00:00Z/11
Q2433691,+1954-08-11T00:00:00Z/11,Q51850225,"""11002635""",+2018-04-13T00:00:00Z/11
Q104774,+1956-02-22T00:00:00Z/11,Q51850225,"""11002636""",+2018-04-13T00:00:00Z/11
Q566094,+1955-02-24T00:00:00Z/11,Q51850225,"""11002637""",+2018-04-13T00:00:00Z/11
Q1078281,+1941-08-29T00:00:00Z/11,Q51850225,"""11002638""",+2018-04-13T00:00:00Z/11
Q1633114,+1941-03-21T00:00:00Z/11,Q51850225,"""11002639""",+2018-04-13T00:00:00Z/11
Q472533,+1955-05-14T00:00:00Z/11,Q51850225,"""11002640""",+2018-04-13T00:00:00Z/11
Q1457959,+1948-07-23T00:00:00Z/11,Q51850225,"""11002641""",+2018-04-13T00:00:00Z/11
Q1647859,+1943-09-09T00:00:00Z/11,Q51850225,"""11002642""",+2018-04-13T00:00:00Z/11
Q1450109,+1941-09-10T00:00:00Z/11,Q51850225,"""11002643""",+2018-04-13T00:00:00Z/11
Q1874349,+1934-08-10T00:00:00Z/11,Q51850225,"""11002646""",+2018-04-13T00:00:00Z/11
Q2074712,+1942-12-07T00:00:00Z/11,Q51850225,"""11002647""",+2018-04-13T00:00:00Z/11
Q1383164,+1955-11-11T00:00:00Z/11,Q51850225,"""11002648""",+2018-04-13T00:00:00Z/11
Q1600127,+1938-11-17T00:00:00Z/11,Q51850225,"""11002649""",+2018-04-13T00:00:00Z/11
Q566559,+1947-09-06T00:00:00Z/11,Q51850225,"""11002650""",+2018-04-13T00:00:00Z/11
Q2474771,+1942-10-06T00:00:00Z/11,Q51850225,"""11002651""",+2018-04-13T00:00:00Z/11
Q64528,+1960-01-14T00:00:00Z/11,Q51850225,"""11002652""",+2018-04-13T00:00:00Z/11
Q1490252,+1957-05-06T00:00:00Z/11,Q51850225,"""11002653""",+2018-04-13T00:00:00Z/11
Q1672727,+1958-10-16T00:00:00Z/11,Q51850225,"""11002654""",+2018-04-13T00:00:00Z/11
Q1157275,+1953-03-03T00:00:00Z/11,Q51850225,"""11002655""",+2018-04-13T00:00:00Z/11
Q1507658,+1946-09-23T00:00:00Z/11,Q51850225,"""11002656""",+2018-04-13T00:00:00Z/11
Q1407059,+1948-03-10T00:00:00Z/11,Q51850225,"""11002657""",+2018-04-13T00:00:00Z/11
Q69029,+1943-12-31T00:00:00Z/11,Q51850225,"""11002659""",+2018-04-13T00:00:00Z/11
Q97674,+1950-01-27T00:00:00Z/11,Q51850225,"""11002660""",+2018-04-13T00:00:00Z/11
Q2582339,+1952-09-18T00:00:00Z/11,Q51850225,"""11002661""",+2018-04-13T00:00:00Z/11
Q534285,+1947-05-10T00:00:00Z/11,Q51850225,"""11002662""",+2018-04-13T00:00:00Z/11
Q1222013,+1945-07-02T00:00:00Z/11,Q51850225,"""11002663""",+2018-04-13T00:00:00Z/11
Q1344821,+1950-05-27T00:00:00Z/11,Q51850225,"""11002664""",+2018-04-13T00:00:00Z/11
Q1570881,+1943-12-28T00:00:00Z/11,Q51850225,"""11002665""",+2018-04-13T00:00:00Z/11
Q70429,+1961-02-25T00:00:00Z/11,Q51850225,"""11002666""",+2018-04-13T00:00:00Z/11
